Genes	KEGG_ID	Metabolism	Pathways	Genes_name	Isoforms
IMPA2	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	inositol	inositol monophosphatase 2
IMPDH1	hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	inosine	inosine monophosphate dehydrogenase 1
IMPDH2	hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	inosine	inosine monophosphate dehydrogenase 2
INMT	hsa00380 / hsa00450	Amino acid metabolism / Metabolism of other amino acids	Tryptophan metabolism - Homo sapiens (human) / Selenocompound metabolism - Homo sapiens (human)	indolethylamine	indolethylamine N-methyltransferase
INPP1	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	inositol	inositol polyphosphate-1-phosphatase
INPP4A	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	inositol	inositol polyphosphate-4-phosphatase type I A
INPP4B	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	inositol	inositol polyphosphate-4-phosphatase type II B
INPP5A	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	inositol	inositol polyphosphate-5-phosphatase A
INPP5B	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	inositol	inositol polyphosphate-5-phosphatase B
INPP5D	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	inositol	inositol polyphosphate-5-phosphatase D
INPP5E	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	inositol	inositol polyphosphate-5-phosphatase E
INPP5F	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	inositol	inositol polyphosphate-5-phosphatase F
INPP5J	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	inositol	inositol polyphosphate-5-phosphatase J
INPP5K	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	inositol	inositol polyphosphate-5-phosphatase K
INPPL1	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	inositol	inositol polyphosphate phosphatase like 1
IPMK	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	inositol	inositol polyphosphate multikinase
IPPK	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	inositol-pentakisphosphate	inositol-pentakisphosphate 2-kinase
ISYNA1	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	inositol-3-phosphate	inositol-3-phosphate synthase 1
ITPA	hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	inosine	inosine triphosphatase
ITPK1	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	inositol-tetrakisphosphate	inositol-tetrakisphosphate 1-kinase
ITPKA	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	inositol-trisphosphate	inositol-trisphosphate 3-kinase A
ITPKB	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	inositol-trisphosphate	inositol-trisphosphate 3-kinase B
ITPKC	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	inositol-trisphosphate	inositol-trisphosphate 3-kinase C
IVD	hsa00280	Amino acid metabolism	Valine, leucine and isoleucine degradation - Homo sapiens (human)	isovaleryl-CoA	isovaleryl-CoA dehydrogenase
JMJD7-PLA2G4B	hsa00564 / hsa00565 / hsa00590 / hsa00591 / hsa00592	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human) / Ether lipid metabolism - Homo sapiens (human) / Arachidonic acid metabolism - Homo sapiens (human) / Linoleic acid metabolism - Homo sapiens (human) / alpha-Linolenic acid metabolism - Homo sapiens (human)	JMJD7-PLA2G4B	JMJD7-PLA2G4B readthrough
KDSR	hsa00600	Lipid metabolism	Sphingolipid metabolism - Homo sapiens (human)	3-ketodihydrosphingosine	3-ketodihydrosphingosine reductase
KHK	hsa00051	Carbohydrate metabolism	Fructose and mannose metabolism - Homo sapiens (human)	ketohexokinase	ketohexokinase
KL	hsa00040 / hsa00053	Carbohydrate metabolism	Pentose and glucuronate interconversions - Homo sapiens (human) / Ascorbate and aldarate metabolism - Homo sapiens (human)	klotho	klotho
KMO	hsa00380	Amino acid metabolism	Tryptophan metabolism - Homo sapiens (human)	kynurenine	kynurenine 3-monooxygenase
KMT2A	hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	lysine	lysine methyltransferase 2A
KMT2B	hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	lysine	lysine methyltransferase 2B
KMT2C	hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	lysine	lysine methyltransferase 2C
KMT2D	hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	lysine	lysine methyltransferase 2D
KMT2E	hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	lysine	lysine methyltransferase 2E (inactive)
SETD8	hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	lysine	lysine methyltransferase 5A
SUV420H1	hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	lysine	lysine methyltransferase 5B
SUV420H2	hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	lysine	lysine methyltransferase 5C
CCBL1	hsa00270 / hsa00380 / hsa00450	Amino acid metabolism / Metabolism of other amino acids	Cysteine and methionine metabolism - Homo sapiens (human) / Tryptophan metabolism - Homo sapiens (human) / Selenocompound metabolism - Homo sapiens (human)	kynurenine	kynurenine aminotransferase 1
CCBL2	hsa00270 / hsa00380 / hsa00450	Amino acid metabolism / Metabolism of other amino acids	Cysteine and methionine metabolism - Homo sapiens (human) / Tryptophan metabolism - Homo sapiens (human) / Selenocompound metabolism - Homo sapiens (human)	kynurenine	kynurenine aminotransferase 3
KYNU	hsa00380	Amino acid metabolism	Tryptophan metabolism - Homo sapiens (human)	kynureninase	kynureninase
L2HGDH	hsa00650	Carbohydrate metabolism	Butanoate metabolism - Homo sapiens (human)	L-2-hydroxyglutarate	L-2-hydroxyglutarate dehydrogenase
L3HYPDH	hsa00330	Amino acid metabolism	Arginine and proline metabolism - Homo sapiens (human)	trans-L-3-hydroxyproline	trans-L-3-hydroxyproline dehydratase
LACC1	hsa00230 / hsa00270	Nucleotide metabolism / Amino acid metabolism	Purine metabolism - Homo sapiens (human) / Cysteine and methionine metabolism - Homo sapiens (human)	laccase	laccase domain containing 1
LALBA	hsa00052	Carbohydrate metabolism	Galactose metabolism - Homo sapiens (human)	lactalbumin	lactalbumin alpha
LANCL1	hsa00480	Metabolism of other amino acids	Glutathione metabolism - Homo sapiens (human)	LanC	LanC like glutathione S-transferase 1
LAP3	hsa00330 / hsa00480	Amino acid metabolism / Metabolism of other amino acids	Arginine and proline metabolism - Homo sapiens (human) / Glutathione metabolism - Homo sapiens (human)	leucine	leucine aminopeptidase 3
LBR	hsa00100	Lipid metabolism	Steroid biosynthesis - Homo sapiens (human)	lamin	lamin B receptor
LCAT	hsa00564	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human)	lecithin-cholesterol	lecithin-cholesterol acyltransferase
LCLAT1	hsa00561 / hsa00564	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human) / Glycerophospholipid metabolism - Homo sapiens (human)	lysocardiolipin	lysocardiolipin acyltransferase 1
LCT	hsa00052	Carbohydrate metabolism	Galactose metabolism - Homo sapiens (human)	lactase	lactase
LDHA	hsa00010 / hsa00620 / hsa00640 / hsa00270	Carbohydrate metabolism / Amino acid metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human) / Pyruvate metabolism - Homo sapiens (human) / Propanoate metabolism - Homo sapiens (human) / Cysteine and methionine metabolism - Homo sapiens (human)	lactate	lactate dehydrogenase A
LDHAL6A	hsa00010 / hsa00620 / hsa00640 / hsa00270	Carbohydrate metabolism / Amino acid metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human) / Pyruvate metabolism - Homo sapiens (human) / Propanoate metabolism - Homo sapiens (human) / Cysteine and methionine metabolism - Homo sapiens (human)	lactate	lactate dehydrogenase A like 6A
LDHAL6B	hsa00010 / hsa00620 / hsa00640 / hsa00270	Carbohydrate metabolism / Amino acid metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human) / Pyruvate metabolism - Homo sapiens (human) / Propanoate metabolism - Homo sapiens (human) / Cysteine and methionine metabolism - Homo sapiens (human)	lactate	lactate dehydrogenase A like 6B
LDHB	hsa00010 / hsa00620 / hsa00640 / hsa00270	Carbohydrate metabolism / Amino acid metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human) / Pyruvate metabolism - Homo sapiens (human) / Propanoate metabolism - Homo sapiens (human) / Cysteine and methionine metabolism - Homo sapiens (human)	lactate	lactate dehydrogenase B
LDHC	hsa00010 / hsa00620 / hsa00640 / hsa00270	Carbohydrate metabolism / Amino acid metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human) / Pyruvate metabolism - Homo sapiens (human) / Propanoate metabolism - Homo sapiens (human) / Cysteine and methionine metabolism - Homo sapiens (human)	lactate	lactate dehydrogenase C
LDHD	hsa00620	Carbohydrate metabolism	Pyruvate metabolism - Homo sapiens (human)	lactate	lactate dehydrogenase D
LHPP	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	phospholysine	phospholysine phosphohistidine inorganic pyrophosphate phosphatase
LIAS	hsa00785	Metabolism of cofactors and vitamins	Lipoic acid metabolism - Homo sapiens (human)	lipoic	lipoic acid synthetase
LIPA	hsa00100	Lipid metabolism	Steroid biosynthesis - Homo sapiens (human)	lipase	lipase A, lysosomal acid type
LIPC	hsa00561	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human)	lipase	lipase C, hepatic type
LIPF	hsa00561	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human)	lipase	lipase F, gastric type
LIPG	hsa00561	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human)	lipase	lipase G, endothelial type
LIPT1	hsa00785	Metabolism of cofactors and vitamins	Lipoic acid metabolism - Homo sapiens (human)	lipoyltransferase	lipoyltransferase 1
LIPT2	hsa00785	Metabolism of cofactors and vitamins	Lipoic acid metabolism - Homo sapiens (human)	lipoyl(octanoyl)	lipoyl(octanoyl) transferase 2
LPCAT1	hsa00564 / hsa00565	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human) / Ether lipid metabolism - Homo sapiens (human)	lysophosphatidylcholine	lysophosphatidylcholine acyltransferase 1
LPCAT2	hsa00564 / hsa00565	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human) / Ether lipid metabolism - Homo sapiens (human)	lysophosphatidylcholine	lysophosphatidylcholine acyltransferase 2
LPCAT3	hsa00564	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human)	lysophosphatidylcholine	lysophosphatidylcholine acyltransferase 3
LPCAT4	hsa00564 / hsa00565	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human) / Ether lipid metabolism - Homo sapiens (human)	lysophosphatidylcholine	lysophosphatidylcholine acyltransferase 4
LPGAT1	hsa00564	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human)	lysophosphatidylglycerol	lysophosphatidylglycerol acyltransferase 1
LPIN1	hsa00561 / hsa00564	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human) / Glycerophospholipid metabolism - Homo sapiens (human)	lipin	lipin 1
LPIN2	hsa00561 / hsa00564	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human) / Glycerophospholipid metabolism - Homo sapiens (human)	lipin	lipin 2
LPIN3	hsa00561 / hsa00564	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human) / Glycerophospholipid metabolism - Homo sapiens (human)	lipin	lipin 3
LPL	hsa00561	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human)	lipoprotein	lipoprotein lipase
LRAT	hsa00830	Metabolism of cofactors and vitamins	Retinol metabolism - Homo sapiens (human)	lecithin	lecithin retinol acyltransferase
LRTOMT	hsa00140 / hsa00350	Lipid metabolism / Amino acid metabolism	Steroid hormone biosynthesis - Homo sapiens (human) / Tyrosine metabolism - Homo sapiens (human)	leucine	leucine rich transmembrane and O-methyltransferase domain containing
LSS	hsa00100	Lipid metabolism	Steroid biosynthesis - Homo sapiens (human)	lanosterol	lanosterol synthase
LTA4H	hsa00590	Lipid metabolism	Arachidonic acid metabolism - Homo sapiens (human)	leukotriene	leukotriene A4 hydrolase
LTC4S	hsa00590	Lipid metabolism	Arachidonic acid metabolism - Homo sapiens (human)	leukotriene	leukotriene C4 synthase
LYPLA1	hsa00564	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human)	lysophospholipase	lysophospholipase 1
LYPLA2	hsa00564	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human)	lysophospholipase	lysophospholipase 2
MAOA	hsa00260 / hsa00330 / hsa00340 / hsa00350 / hsa00360 / hsa00380	Amino acid metabolism	Glycine, serine and threonine metabolism - Homo sapiens (human) / Arginine and proline metabolism - Homo sapiens (human) / Histidine metabolism - Homo sapiens (human) / Tyrosine metabolism - Homo sapiens (human) / Phenylalanine metabolism - Homo sapiens (human) / Tryptophan metabolism - Homo sapiens (human)	monoamine	monoamine oxidase A
MAOB	hsa00260 / hsa00330 / hsa00340 / hsa00350 / hsa00360 / hsa00380	Amino acid metabolism	Glycine, serine and threonine metabolism - Homo sapiens (human) / Arginine and proline metabolism - Homo sapiens (human) / Histidine metabolism - Homo sapiens (human) / Tyrosine metabolism - Homo sapiens (human) / Phenylalanine metabolism - Homo sapiens (human) / Tryptophan metabolism - Homo sapiens (human)	monoamine	monoamine oxidase B
MARS	hsa00450	Metabolism of other amino acids	Selenocompound metabolism - Homo sapiens (human)	methionyl-tRNA	methionyl-tRNA synthetase 1
MARS2	hsa00450	Metabolism of other amino acids	Selenocompound metabolism - Homo sapiens (human)	methionyl-tRNA	methionyl-tRNA synthetase 2, mitochondrial
MAT1A	hsa00270 / hsa00670	Amino acid metabolism / Metabolism of cofactors and vitamins	Cysteine and methionine metabolism - Homo sapiens (human) / One carbon pool by folate - Homo sapiens (human)	methionine	methionine adenosyltransferase 1A
MAT2A	hsa00270 / hsa00670	Amino acid metabolism / Metabolism of cofactors and vitamins	Cysteine and methionine metabolism - Homo sapiens (human) / One carbon pool by folate - Homo sapiens (human)	methionine	methionine adenosyltransferase 2A
MAT2B	hsa00270 / hsa00670	Amino acid metabolism / Metabolism of cofactors and vitamins	Cysteine and methionine metabolism - Homo sapiens (human) / One carbon pool by folate - Homo sapiens (human)	methionine	methionine adenosyltransferase 2 non-catalytic beta subunit
MBOAT1	hsa00561 / hsa00564	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human) / Glycerophospholipid metabolism - Homo sapiens (human)	membrane	membrane bound O-acyltransferase domain containing 1
MBOAT2	hsa00561 / hsa00564	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human) / Glycerophospholipid metabolism - Homo sapiens (human)	membrane	membrane bound O-acyltransferase domain containing 2
MBOAT7	hsa00564	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human)	membrane	membrane bound O-acyltransferase domain containing 7
MCAT	hsa00061	Lipid metabolism	Fatty acid biosynthesis - Homo sapiens (human)	malonyl-CoA-acyl	malonyl-CoA-acyl carrier protein transacylase
MCCC1	hsa00280	Amino acid metabolism	Valine, leucine and isoleucine degradation - Homo sapiens (human)	methylcrotonyl-CoA	methylcrotonyl-CoA carboxylase subunit 1
MCCC2	hsa00280	Amino acid metabolism	Valine, leucine and isoleucine degradation - Homo sapiens (human)	methylcrotonyl-CoA	methylcrotonyl-CoA carboxylase subunit 2
MCEE	hsa00630 / hsa00640 / hsa00280	Carbohydrate metabolism / Amino acid metabolism	Glyoxylate and dicarboxylate metabolism - Homo sapiens (human) / Propanoate metabolism - Homo sapiens (human) / Valine, leucine and isoleucine degradation - Homo sapiens (human)	methylmalonyl-CoA	methylmalonyl-CoA epimerase
MDH1	hsa00020 / hsa00620 / hsa00630 / hsa00270	Carbohydrate metabolism / Amino acid metabolism	Citrate cycle (TCA cycle) - Homo sapiens (human) / Pyruvate metabolism - Homo sapiens (human) / Glyoxylate and dicarboxylate metabolism - Homo sapiens (human) / Cysteine and methionine metabolism - Homo sapiens (human)	malate	malate dehydrogenase 1
MDH2	hsa00020 / hsa00620 / hsa00630 / hsa00270	Carbohydrate metabolism / Amino acid metabolism	Citrate cycle (TCA cycle) - Homo sapiens (human) / Pyruvate metabolism - Homo sapiens (human) / Glyoxylate and dicarboxylate metabolism - Homo sapiens (human) / Cysteine and methionine metabolism - Homo sapiens (human)	malate	malate dehydrogenase 2
ME1	hsa00620	Carbohydrate metabolism	Pyruvate metabolism - Homo sapiens (human)	malic	malic enzyme 1
ME2	hsa00620	Carbohydrate metabolism	Pyruvate metabolism - Homo sapiens (human)	malic	malic enzyme 2
ME3	hsa00620	Carbohydrate metabolism	Pyruvate metabolism - Homo sapiens (human)	malic	malic enzyme 3
MECOM	hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	MDS1	MDS1 and EVI1 complex locus
MECR	hsa00061 / hsa00062	Lipid metabolism	Fatty acid biosynthesis - Homo sapiens (human) / Fatty acid elongation - Homo sapiens (human)	mitochondrial	mitochondrial trans-2-enoyl-CoA reductase
MGAM	hsa00052 / hsa00500	Carbohydrate metabolism	Galactose metabolism - Homo sapiens (human) / Starch and sucrose metabolism - Homo sapiens (human)	maltase-glucoamylase	maltase-glucoamylase
MGAM2	hsa00052 / hsa00500	Carbohydrate metabolism	Galactose metabolism - Homo sapiens (human) / Starch and sucrose metabolism - Homo sapiens (human)	maltase-glucoamylase	maltase-glucoamylase 2 (putative)
MGLL	hsa00561	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human)	monoglyceride	monoglyceride lipase
MGST1	hsa00480	Metabolism of other amino acids	Glutathione metabolism - Homo sapiens (human)	microsomal	microsomal glutathione S-transferase 1
MGST2	hsa00480	Metabolism of other amino acids	Glutathione metabolism - Homo sapiens (human)	microsomal	microsomal glutathione S-transferase 2
MGST3	hsa00480	Metabolism of other amino acids	Glutathione metabolism - Homo sapiens (human)	microsomal	microsomal glutathione S-transferase 3
MIF	hsa00350 / hsa00360	Amino acid metabolism	Tyrosine metabolism - Homo sapiens (human) / Phenylalanine metabolism - Homo sapiens (human)	macrophage	macrophage migration inhibitory factor
MINPP1	hsa00010 / hsa00562	Carbohydrate metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human) / Inositol phosphate metabolism - Homo sapiens (human)	multiple	multiple inositol-polyphosphate phosphatase 1
MIOX	hsa00053 / hsa00562	Carbohydrate metabolism	Ascorbate and aldarate metabolism - Homo sapiens (human) / Inositol phosphate metabolism - Homo sapiens (human)	myo-inositol	myo-inositol oxygenase
MLYCD	hsa00640 / hsa00410	Carbohydrate metabolism / Metabolism of other amino acids	Propanoate metabolism - Homo sapiens (human) / beta-Alanine metabolism - Homo sapiens (human)	malonyl-CoA	malonyl-CoA decarboxylase
MMAB	hsa00860	Metabolism of cofactors and vitamins	Porphyrin metabolism - Homo sapiens (human)	metabolism	metabolism of cobalamin associated B
MUT	hsa00630 / hsa00640 / hsa00280	Carbohydrate metabolism / Amino acid metabolism	Glyoxylate and dicarboxylate metabolism - Homo sapiens (human) / Propanoate metabolism - Homo sapiens (human) / Valine, leucine and isoleucine degradation - Homo sapiens (human)	methylmalonyl-CoA	methylmalonyl-CoA mutase
MOCOS	hsa00790	Metabolism of cofactors and vitamins	Folate biosynthesis - Homo sapiens (human)	molybdenum	molybdenum cofactor sulfurase
MOCS1	hsa00790	Metabolism of cofactors and vitamins	Folate biosynthesis - Homo sapiens (human)	molybdenum	molybdenum cofactor synthesis 1
MOCS2	hsa00790	Metabolism of cofactors and vitamins	Folate biosynthesis - Homo sapiens (human)	molybdenum	molybdenum cofactor synthesis 2
MOGAT1	hsa00561	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human)	monoacylglycerol	monoacylglycerol O-acyltransferase 1
MOGAT2	hsa00561	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human)	monoacylglycerol	monoacylglycerol O-acyltransferase 2
MOGAT3	hsa00561	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human)	monoacylglycerol	monoacylglycerol O-acyltransferase 3
MPI	hsa00051 / hsa00520	Carbohydrate metabolism	Fructose and mannose metabolism - Homo sapiens (human) / Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)	mannose	mannose phosphate isomerase
MPST	hsa00920 / hsa00270	Energy metabolism / Amino acid metabolism	Sulfur metabolism - Homo sapiens (human) / Cysteine and methionine metabolism - Homo sapiens (human)	mercaptopyruvate	mercaptopyruvate sulfurtransferase
MRI1	hsa00270	Amino acid metabolism	Cysteine and methionine metabolism - Homo sapiens (human)	methylthioribose-1-phosphate	methylthioribose-1-phosphate isomerase 1
MSMO1	hsa00100	Lipid metabolism	Steroid biosynthesis - Homo sapiens (human)	methylsterol	methylsterol monooxygenase 1
MTAP	hsa00270	Amino acid metabolism	Cysteine and methionine metabolism - Homo sapiens (human)	methylthioadenosine	methylthioadenosine phosphorylase
MTHFD1	hsa00670	Metabolism of cofactors and vitamins	One carbon pool by folate - Homo sapiens (human)	methylenetetrahydrofolate	methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1
MTHFD1L	hsa00670	Metabolism of cofactors and vitamins	One carbon pool by folate - Homo sapiens (human)	methylenetetrahydrofolate	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like
MTHFD2	hsa00670	Metabolism of cofactors and vitamins	One carbon pool by folate - Homo sapiens (human)	methylenetetrahydrofolate	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase
MTHFD2L	hsa00670	Metabolism of cofactors and vitamins	One carbon pool by folate - Homo sapiens (human)	methylenetetrahydrofolate	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2 like
MTHFR	hsa00670	Metabolism of cofactors and vitamins	One carbon pool by folate - Homo sapiens (human)	methylenetetrahydrofolate	methylenetetrahydrofolate reductase
MTHFS	hsa00670	Metabolism of cofactors and vitamins	One carbon pool by folate - Homo sapiens (human)	methenyltetrahydrofolate	methenyltetrahydrofolate synthetase
MTM1	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	myotubularin	myotubularin 1
MTMR1	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	myotubularin	myotubularin related protein 1
MTMR14	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	myotubularin	myotubularin related protein 14
MTMR2	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	myotubularin	myotubularin related protein 2
MTMR3	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	myotubularin	myotubularin related protein 3
MTMR4	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	myotubularin	myotubularin related protein 4
MTMR6	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	myotubularin	myotubularin related protein 6
MTMR7	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	myotubularin	myotubularin related protein 7
MTMR8	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	myotubularin	myotubularin related protein 8
MTR	hsa00270 / hsa00450 / hsa00670	Amino acid metabolism / Metabolism of other amino acids / Metabolism of cofactors and vitamins	Cysteine and methionine metabolism - Homo sapiens (human) / Selenocompound metabolism - Homo sapiens (human) / One carbon pool by folate - Homo sapiens (human)	5-methyltetrahydrofolate-homocysteine	5-methyltetrahydrofolate-homocysteine methyltransferase
NADK	hsa00760	Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism - Homo sapiens (human)	NAD	NAD kinase
NADK2	hsa00760	Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism - Homo sapiens (human)	NAD	NAD kinase 2, mitochondrial
NADSYN1	hsa00760	Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism - Homo sapiens (human)	NAD	NAD synthetase 1
NAGK	hsa00520	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)	N-acetylglucosamine	N-acetylglucosamine kinase
NAGS	hsa00220	Amino acid metabolism	Arginine biosynthesis - Homo sapiens (human)	N-acetylglutamate	N-acetylglutamate synthase
NAMPT	hsa00760	Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism - Homo sapiens (human)	nicotinamide	nicotinamide phosphoribosyltransferase
NANP	hsa00520	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)	N-acetylneuraminic	N-acetylneuraminic acid phosphatase
NANS	hsa00520	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)	N-acetylneuraminate	N-acetylneuraminate synthase
NAPRT	hsa00760	Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism - Homo sapiens (human)	nicotinate	nicotinate phosphoribosyltransferase
NAT8	hsa00480	Metabolism of other amino acids	Glutathione metabolism - Homo sapiens (human)	N-acetyltransferase	N-acetyltransferase 8 (putative)
NAT8L	hsa00250	Amino acid metabolism	Alanine, aspartate and glutamate metabolism - Homo sapiens (human)	N-acetyltransferase	N-acetyltransferase 8 like
TYSND1	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NADH	NADH dehydrogenase subunit 1
ALX4	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NADH	NADH dehydrogenase subunit 2
KCND3	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NADH	NADH dehydrogenase subunit 3
DENND4A	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NADH	NADH dehydrogenase subunit 4
MT-ND4L	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NADH	NADH dehydrogenase subunit 4L
DAND5	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NADH	NADH dehydrogenase subunit 5
FBXO38	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NADH	NADH dehydrogenase subunit 6
NDUFA1	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NADH:ubiquinone	NADH:ubiquinone oxidoreductase subunit A1
NDUFA10	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NADH:ubiquinone	NADH:ubiquinone oxidoreductase subunit A10
NDUFA11	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NADH:ubiquinone	NADH:ubiquinone oxidoreductase subunit A11
NDUFA12	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NADH:ubiquinone	NADH:ubiquinone oxidoreductase subunit A12
NDUFA13	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NADH:ubiquinone	NADH:ubiquinone oxidoreductase subunit A13
NDUFA2	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NADH:ubiquinone	NADH:ubiquinone oxidoreductase subunit A2
NDUFA3	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NADH:ubiquinone	NADH:ubiquinone oxidoreductase subunit A3
NDUFA4	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NDUFA4	NDUFA4 mitochondrial complex associated
