KEGG_ID	Metabolism	Pathways	Genes	Genes_name	Isoforms
hsa00140	Lipid metabolism	Steroid hormone biosynthesis - Homo sapiens (human)	HSD11B1	hydroxysteroid	hydroxysteroid 11-beta dehydrogenase 1
hsa00140	Lipid metabolism	Steroid hormone biosynthesis - Homo sapiens (human)	HSD11B1L	hydroxysteroid	hydroxysteroid 11-beta dehydrogenase 1 like
hsa00140	Lipid metabolism	Steroid hormone biosynthesis - Homo sapiens (human)	HSD11B2	hydroxysteroid	hydroxysteroid 11-beta dehydrogenase 2
hsa00140	Lipid metabolism	Steroid hormone biosynthesis - Homo sapiens (human)	HSD17B1	hydroxysteroid	hydroxysteroid 17-beta dehydrogenase 1
hsa00280	Amino acid metabolism	Valine, leucine and isoleucine degradation - Homo sapiens (human)	HSD17B10	hydroxysteroid	hydroxysteroid 17-beta dehydrogenase 10
hsa00140	Lipid metabolism	Steroid hormone biosynthesis - Homo sapiens (human)	HSD17B11	hydroxysteroid	hydroxysteroid 17-beta dehydrogenase 11
hsa00062	Lipid metabolism	Fatty acid elongation - Homo sapiens (human)	HSD17B12	hydroxysteroid	hydroxysteroid 17-beta dehydrogenase 12
hsa00140	Lipid metabolism	Steroid hormone biosynthesis - Homo sapiens (human)	HSD17B2	hydroxysteroid	hydroxysteroid 17-beta dehydrogenase 2
hsa00140	Lipid metabolism	Steroid hormone biosynthesis - Homo sapiens (human)	HSD17B3	hydroxysteroid	hydroxysteroid 17-beta dehydrogenase 3
hsa00120	Lipid metabolism	Primary bile acid biosynthesis - Homo sapiens (human)	HSD17B4	hydroxysteroid	hydroxysteroid 17-beta dehydrogenase 4
hsa00140	Lipid metabolism	Steroid hormone biosynthesis - Homo sapiens (human)	HSD17B6	hydroxysteroid	hydroxysteroid 17-beta dehydrogenase 6
hsa00100	Lipid metabolism	Steroid biosynthesis - Homo sapiens (human)	HSD17B7	hydroxysteroid	hydroxysteroid 17-beta dehydrogenase 7
hsa00061	Lipid metabolism	Fatty acid biosynthesis - Homo sapiens (human)	HSD17B8	hydroxysteroid	hydroxysteroid 17-beta dehydrogenase 8
hsa00140	Lipid metabolism	Steroid hormone biosynthesis - Homo sapiens (human)	HSD3B1	hydroxy-delta-5-steroid	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1
hsa00140	Lipid metabolism	Steroid hormone biosynthesis - Homo sapiens (human)	HSD3B2	hydroxy-delta-5-steroid	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2
hsa00120	Lipid metabolism	Primary bile acid biosynthesis - Homo sapiens (human)	HSD3B7	hydroxy-delta-5-steroid	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7
hsa00061	Lipid metabolism	Fatty acid biosynthesis - Homo sapiens (human)	HTD2	hydroxyacyl-thioester	hydroxyacyl-thioester dehydratase type 2
hsa00630	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism - Homo sapiens (human)	HYI	hydroxypyruvate	hydroxypyruvate isomerase (putative)
hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	HYKK	hydroxylysine	hydroxylysine kinase
hsa00020	Carbohydrate metabolism	Citrate cycle (TCA cycle) - Homo sapiens (human)	IDH1	isocitrate	isocitrate dehydrogenase (NADP(+)) 1
hsa00020	Carbohydrate metabolism	Citrate cycle (TCA cycle) - Homo sapiens (human)	IDH2	isocitrate	isocitrate dehydrogenase (NADP(+)) 2
hsa00020	Carbohydrate metabolism	Citrate cycle (TCA cycle) - Homo sapiens (human)	IDH3A	isocitrate	isocitrate dehydrogenase (NAD(+)) 3 catalytic subunit alpha
hsa00020	Carbohydrate metabolism	Citrate cycle (TCA cycle) - Homo sapiens (human)	IDH3B	isocitrate	isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta
hsa00020	Carbohydrate metabolism	Citrate cycle (TCA cycle) - Homo sapiens (human)	IDH3G	isocitrate	isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit gamma
hsa00030	Carbohydrate metabolism	Pentose phosphate pathway - Homo sapiens (human)	IDNK	IDNK	IDNK gluconokinase
hsa00380	Amino acid metabolism	Tryptophan metabolism - Homo sapiens (human)	IDO1	indoleamine	indoleamine 2,3-dioxygenase 1
hsa00380	Amino acid metabolism	Tryptophan metabolism - Homo sapiens (human)	IDO2	indoleamine	indoleamine 2,3-dioxygenase 2
hsa00250	Amino acid metabolism	Alanine, aspartate and glutamate metabolism - Homo sapiens (human)	IL4I1	interleukin	interleukin 4 induced 1
hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	IMPA1	inositol	inositol monophosphatase 1
hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	IMPA2	inositol	inositol monophosphatase 2
hsa00920	Energy metabolism	Sulfur metabolism - Homo sapiens (human)	IMPAD1	3'(2'),	3'(2'), 5'-bisphosphate nucleotidase 2
hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	IMPDH1	inosine	inosine monophosphate dehydrogenase 1
hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	IMPDH2	inosine	inosine monophosphate dehydrogenase 2
hsa00380	Amino acid metabolism	Tryptophan metabolism - Homo sapiens (human)	INMT	indolethylamine	indolethylamine N-methyltransferase
hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	INPP1	inositol	inositol polyphosphate-1-phosphatase
hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	INPP4A	inositol	inositol polyphosphate-4-phosphatase type I A
hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	INPP4B	inositol	inositol polyphosphate-4-phosphatase type II B
hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	INPP5A	inositol	inositol polyphosphate-5-phosphatase A
hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	INPP5B	inositol	inositol polyphosphate-5-phosphatase B
hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	INPP5D	inositol	inositol polyphosphate-5-phosphatase D
hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	INPP5E	inositol	inositol polyphosphate-5-phosphatase E
hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	INPP5F	inositol	inositol polyphosphate-5-phosphatase F
hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	INPP5J	inositol	inositol polyphosphate-5-phosphatase J
hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	INPP5K	inositol	inositol polyphosphate-5-phosphatase K
hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	INPPL1	inositol	inositol polyphosphate phosphatase like 1
hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	IPMK	inositol	inositol polyphosphate multikinase
hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	IPPK	inositol-pentakisphosphate	inositol-pentakisphosphate 2-kinase
hsa00040	Carbohydrate metabolism	Pentose and glucuronate interconversions - Homo sapiens (human)	ISPD	CDP-L-ribitol	CDP-L-ribitol pyrophosphorylase A
hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	ISYNA1	inositol-3-phosphate	inositol-3-phosphate synthase 1
hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	ITPA	inosine	inosine triphosphatase
hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	ITPK1	inositol-tetrakisphosphate	inositol-tetrakisphosphate 1-kinase
hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	ITPKA	inositol-trisphosphate	inositol-trisphosphate 3-kinase A
hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	ITPKB	inositol-trisphosphate	inositol-trisphosphate 3-kinase B
hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	ITPKC	inositol-trisphosphate	inositol-trisphosphate 3-kinase C
hsa00280	Amino acid metabolism	Valine, leucine and isoleucine degradation - Homo sapiens (human)	IVD	isovaleryl-CoA	isovaleryl-CoA dehydrogenase
hsa00564	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human)	JMJD7-PLA2G4B	JMJD7-PLA2G4B	JMJD7-PLA2G4B readthrough
hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	KCND3	NADH	NADH dehydrogenase subunit 3
hsa00600	Lipid metabolism	Sphingolipid metabolism - Homo sapiens (human)	KDSR	3-ketodihydrosphingosine	3-ketodihydrosphingosine reductase
hsa00051	Carbohydrate metabolism	Fructose and mannose metabolism - Homo sapiens (human)	KHK	ketohexokinase	ketohexokinase
hsa00040	Carbohydrate metabolism	Pentose and glucuronate interconversions - Homo sapiens (human)	KL	klotho	klotho
hsa00380	Amino acid metabolism	Tryptophan metabolism - Homo sapiens (human)	KMO	kynurenine	kynurenine 3-monooxygenase
hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	KMT2A	lysine	lysine methyltransferase 2A
hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	KMT2B	lysine	lysine methyltransferase 2B
hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	KMT2C	lysine	lysine methyltransferase 2C
hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	KMT2D	lysine	lysine methyltransferase 2D
hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	KMT2E	lysine	lysine methyltransferase 2E (inactive)
hsa00270	Amino acid metabolism	Cysteine and methionine metabolism - Homo sapiens (human)	CCBL1	kynurenine	kynurenine aminotransferase 1
hsa00380	Amino acid metabolism	Tryptophan metabolism - Homo sapiens (human)	KYNU	kynureninase	kynureninase
hsa00650	Carbohydrate metabolism	Butanoate metabolism - Homo sapiens (human)	L2HGDH	L-2-hydroxyglutarate	L-2-hydroxyglutarate dehydrogenase
hsa00330	Amino acid metabolism	Arginine and proline metabolism - Homo sapiens (human)	L3HYPDH	trans-L-3-hydroxyproline	trans-L-3-hydroxyproline dehydratase
hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	LACC1	laccase	laccase domain containing 1
hsa00052	Carbohydrate metabolism	Galactose metabolism - Homo sapiens (human)	LALBA	lactalbumin	lactalbumin alpha
hsa00480	Metabolism of other amino acids	Glutathione metabolism - Homo sapiens (human)	LANCL1	LanC	LanC like glutathione S-transferase 1
hsa00330	Amino acid metabolism	Arginine and proline metabolism - Homo sapiens (human)	LAP3	leucine	leucine aminopeptidase 3
hsa00100	Lipid metabolism	Steroid biosynthesis - Homo sapiens (human)	LBR	lamin	lamin B receptor
hsa00564	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human)	LCAT	lecithin-cholesterol	lecithin-cholesterol acyltransferase
hsa00561	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human)	LCLAT1	lysocardiolipin	lysocardiolipin acyltransferase 1
hsa00052	Carbohydrate metabolism	Galactose metabolism - Homo sapiens (human)	LCT	lactase	lactase
hsa00010	Carbohydrate metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human)	LDHA	lactate	lactate dehydrogenase A
hsa00010	Carbohydrate metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human)	LDHAL6A	lactate	lactate dehydrogenase A like 6A
hsa00010	Carbohydrate metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human)	LDHAL6B	lactate	lactate dehydrogenase A like 6B
hsa00010	Carbohydrate metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human)	LDHB	lactate	lactate dehydrogenase B
hsa00010	Carbohydrate metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human)	LDHC	lactate	lactate dehydrogenase C
hsa00620	Carbohydrate metabolism	Pyruvate metabolism - Homo sapiens (human)	LDHD	lactate	lactate dehydrogenase D
hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	LHPP	phospholysine	phospholysine phosphohistidine inorganic pyrophosphate phosphatase
hsa00785	Metabolism of cofactors and vitamins	Lipoic acid metabolism - Homo sapiens (human)	LIAS	lipoic	lipoic acid synthetase
hsa00100	Lipid metabolism	Steroid biosynthesis - Homo sapiens (human)	LIPA	lipase	lipase A, lysosomal acid type
hsa00561	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human)	LIPC	lipase	lipase C, hepatic type
hsa00561	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human)	LIPF	lipase	lipase F, gastric type
hsa00561	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human)	LIPG	lipase	lipase G, endothelial type
hsa00785	Metabolism of cofactors and vitamins	Lipoic acid metabolism - Homo sapiens (human)	LIPT1	lipoyltransferase	lipoyltransferase 1
hsa00785	Metabolism of cofactors and vitamins	Lipoic acid metabolism - Homo sapiens (human)	LIPT2	lipoyl(octanoyl)	lipoyl(octanoyl) transferase 2
hsa00564	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human)	LPCAT1	lysophosphatidylcholine	lysophosphatidylcholine acyltransferase 1
hsa00564	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human)	LPCAT2	lysophosphatidylcholine	lysophosphatidylcholine acyltransferase 2
hsa00564	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human)	LPCAT3	lysophosphatidylcholine	lysophosphatidylcholine acyltransferase 3
hsa00564	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human)	LPCAT4	lysophosphatidylcholine	lysophosphatidylcholine acyltransferase 4
hsa00564	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human)	LPGAT1	lysophosphatidylglycerol	lysophosphatidylglycerol acyltransferase 1
hsa00561	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human)	LPIN1	lipin	lipin 1
hsa00561	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human)	LPIN2	lipin	lipin 2
hsa00561	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human)	LPIN3	lipin	lipin 3
hsa00561	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human)	LPL	lipoprotein	lipoprotein lipase
hsa00830	Metabolism of cofactors and vitamins	Retinol metabolism - Homo sapiens (human)	LRAT	lecithin	lecithin retinol acyltransferase
hsa00140	Lipid metabolism	Steroid hormone biosynthesis - Homo sapiens (human)	LRTOMT	leucine	leucine rich transmembrane and O-methyltransferase domain containing
hsa00100	Lipid metabolism	Steroid biosynthesis - Homo sapiens (human)	LSS	lanosterol	lanosterol synthase
hsa00590	Lipid metabolism	Arachidonic acid metabolism - Homo sapiens (human)	LTA4H	leukotriene	leukotriene A4 hydrolase
hsa00590	Lipid metabolism	Arachidonic acid metabolism - Homo sapiens (human)	LTC4S	leukotriene	leukotriene C4 synthase
hsa00564	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human)	LYPLA1	lysophospholipase	lysophospholipase 1
hsa00564	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human)	LYPLA2	lysophospholipase	lysophospholipase 2
hsa00260	Amino acid metabolism	Glycine, serine and threonine metabolism - Homo sapiens (human)	MAOA	monoamine	monoamine oxidase A
hsa00260	Amino acid metabolism	Glycine, serine and threonine metabolism - Homo sapiens (human)	MAOB	monoamine	monoamine oxidase B
hsa00450	Metabolism of other amino acids	Selenocompound metabolism - Homo sapiens (human)	MARS	methionyl-tRNA	methionyl-tRNA synthetase 1
hsa00450	Metabolism of other amino acids	Selenocompound metabolism - Homo sapiens (human)	MARS2	methionyl-tRNA	methionyl-tRNA synthetase 2, mitochondrial
hsa00270	Amino acid metabolism	Cysteine and methionine metabolism - Homo sapiens (human)	MAT1A	methionine	methionine adenosyltransferase 1A
hsa00270	Amino acid metabolism	Cysteine and methionine metabolism - Homo sapiens (human)	MAT2A	methionine	methionine adenosyltransferase 2A
hsa00270	Amino acid metabolism	Cysteine and methionine metabolism - Homo sapiens (human)	MAT2B	methionine	methionine adenosyltransferase 2 non-catalytic beta subunit
hsa00561	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human)	MBOAT1	membrane	membrane bound O-acyltransferase domain containing 1
hsa00561	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human)	MBOAT2	membrane	membrane bound O-acyltransferase domain containing 2
hsa00564	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human)	MBOAT7	membrane	membrane bound O-acyltransferase domain containing 7
hsa00061	Lipid metabolism	Fatty acid biosynthesis - Homo sapiens (human)	MCAT	malonyl-CoA-acyl	malonyl-CoA-acyl carrier protein transacylase
hsa00280	Amino acid metabolism	Valine, leucine and isoleucine degradation - Homo sapiens (human)	MCCC1	methylcrotonyl-CoA	methylcrotonyl-CoA carboxylase subunit 1
hsa00280	Amino acid metabolism	Valine, leucine and isoleucine degradation - Homo sapiens (human)	MCCC2	methylcrotonyl-CoA	methylcrotonyl-CoA carboxylase subunit 2
hsa00630	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism - Homo sapiens (human)	MCEE	methylmalonyl-CoA	methylmalonyl-CoA epimerase
hsa00020	Carbohydrate metabolism	Citrate cycle (TCA cycle) - Homo sapiens (human)	MDH1	malate	malate dehydrogenase 1
hsa00020	Carbohydrate metabolism	Citrate cycle (TCA cycle) - Homo sapiens (human)	MDH2	malate	malate dehydrogenase 2
hsa00620	Carbohydrate metabolism	Pyruvate metabolism - Homo sapiens (human)	ME1	malic	malic enzyme 1
hsa00620	Carbohydrate metabolism	Pyruvate metabolism - Homo sapiens (human)	ME2	malic	malic enzyme 2
hsa00620	Carbohydrate metabolism	Pyruvate metabolism - Homo sapiens (human)	ME3	malic	malic enzyme 3
hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	MECOM	MDS1	MDS1 and EVI1 complex locus
hsa00061	Lipid metabolism	Fatty acid biosynthesis - Homo sapiens (human)	MECR	mitochondrial	mitochondrial trans-2-enoyl-CoA reductase
hsa00052	Carbohydrate metabolism	Galactose metabolism - Homo sapiens (human)	MGAM	maltase-glucoamylase	maltase-glucoamylase
hsa00052	Carbohydrate metabolism	Galactose metabolism - Homo sapiens (human)	MGAM2	maltase-glucoamylase	maltase-glucoamylase 2 (putative)
hsa00561	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human)	MGLL	monoglyceride	monoglyceride lipase
hsa00480	Metabolism of other amino acids	Glutathione metabolism - Homo sapiens (human)	MGST1	microsomal	microsomal glutathione S-transferase 1
hsa00480	Metabolism of other amino acids	Glutathione metabolism - Homo sapiens (human)	MGST2	microsomal	microsomal glutathione S-transferase 2
hsa00480	Metabolism of other amino acids	Glutathione metabolism - Homo sapiens (human)	MGST3	microsomal	microsomal glutathione S-transferase 3
hsa00350	Amino acid metabolism	Tyrosine metabolism - Homo sapiens (human)	MIF	macrophage	macrophage migration inhibitory factor
hsa00010	Carbohydrate metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human)	MINPP1	multiple	multiple inositol-polyphosphate phosphatase 1
hsa00053	Carbohydrate metabolism	Ascorbate and aldarate metabolism - Homo sapiens (human)	MIOX	myo-inositol	myo-inositol oxygenase
hsa00640	Carbohydrate metabolism	Propanoate metabolism - Homo sapiens (human)	MLYCD	malonyl-CoA	malonyl-CoA decarboxylase
hsa00860	Metabolism of cofactors and vitamins	Porphyrin metabolism - Homo sapiens (human)	MMAB	metabolism	metabolism of cobalamin associated B
hsa00790	Metabolism of cofactors and vitamins	Folate biosynthesis - Homo sapiens (human)	MOCOS	molybdenum	molybdenum cofactor sulfurase
hsa00790	Metabolism of cofactors and vitamins	Folate biosynthesis - Homo sapiens (human)	MOCS1	molybdenum	molybdenum cofactor synthesis 1
hsa00790	Metabolism of cofactors and vitamins	Folate biosynthesis - Homo sapiens (human)	MOCS2	molybdenum	molybdenum cofactor synthesis 2
hsa00561	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human)	MOGAT1	monoacylglycerol	monoacylglycerol O-acyltransferase 1
hsa00561	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human)	MOGAT2	monoacylglycerol	monoacylglycerol O-acyltransferase 2
hsa00561	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human)	MOGAT3	monoacylglycerol	monoacylglycerol O-acyltransferase 3
hsa00051	Carbohydrate metabolism	Fructose and mannose metabolism - Homo sapiens (human)	MPI	mannose	mannose phosphate isomerase
hsa00920	Energy metabolism	Sulfur metabolism - Homo sapiens (human)	MPST	mercaptopyruvate	mercaptopyruvate sulfurtransferase
hsa00270	Amino acid metabolism	Cysteine and methionine metabolism - Homo sapiens (human)	MRI1	methylthioribose-1-phosphate	methylthioribose-1-phosphate isomerase 1
hsa00100	Lipid metabolism	Steroid biosynthesis - Homo sapiens (human)	MSMO1	methylsterol	methylsterol monooxygenase 1
hsa00270	Amino acid metabolism	Cysteine and methionine metabolism - Homo sapiens (human)	MTAP	methylthioadenosine	methylthioadenosine phosphorylase
hsa00670	Metabolism of cofactors and vitamins	One carbon pool by folate - Homo sapiens (human)	MTFMT	mitochondrial	mitochondrial methionyl-tRNA formyltransferase
hsa00670	Metabolism of cofactors and vitamins	One carbon pool by folate - Homo sapiens (human)	MTHFD1	methylenetetrahydrofolate	methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1
hsa00670	Metabolism of cofactors and vitamins	One carbon pool by folate - Homo sapiens (human)	MTHFD1L	methylenetetrahydrofolate	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like
hsa00670	Metabolism of cofactors and vitamins	One carbon pool by folate - Homo sapiens (human)	MTHFD2	methylenetetrahydrofolate	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase
hsa00670	Metabolism of cofactors and vitamins	One carbon pool by folate - Homo sapiens (human)	MTHFD2L	methylenetetrahydrofolate	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2 like
hsa00670	Metabolism of cofactors and vitamins	One carbon pool by folate - Homo sapiens (human)	MTHFR	methylenetetrahydrofolate	methylenetetrahydrofolate reductase
hsa00670	Metabolism of cofactors and vitamins	One carbon pool by folate - Homo sapiens (human)	MTHFS	methenyltetrahydrofolate	methenyltetrahydrofolate synthetase
hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	MTM1	myotubularin	myotubularin 1
hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	MTMR1	myotubularin	myotubularin related protein 1
hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	MTMR14	myotubularin	myotubularin related protein 14
hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	MTMR2	myotubularin	myotubularin related protein 2
hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	MTMR3	myotubularin	myotubularin related protein 3
hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	MTMR4	myotubularin	myotubularin related protein 4
hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	MTMR6	myotubularin	myotubularin related protein 6
hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	MTMR7	myotubularin	myotubularin related protein 7
hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	MTMR8	myotubularin	myotubularin related protein 8
hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	MT-ND4L	NADH	NADH dehydrogenase subunit 4L
hsa00270	Amino acid metabolism	Cysteine and methionine metabolism - Homo sapiens (human)	MTR	5-methyltetrahydrofolate-homocysteine	5-methyltetrahydrofolate-homocysteine methyltransferase
hsa00630	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism - Homo sapiens (human)	MUT	methylmalonyl-CoA	methylmalonyl-CoA mutase
hsa00760	Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism - Homo sapiens (human)	NADK	NAD	NAD kinase
hsa00760	Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism - Homo sapiens (human)	NADK2	NAD	NAD kinase 2, mitochondrial
hsa00760	Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism - Homo sapiens (human)	NADSYN1	NAD	NAD synthetase 1
hsa00520	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)	NAGK	N-acetylglucosamine	N-acetylglucosamine kinase
hsa00220	Amino acid metabolism	Arginine biosynthesis - Homo sapiens (human)	NAGS	N-acetylglutamate	N-acetylglutamate synthase
hsa00760	Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism - Homo sapiens (human)	NAMPT	nicotinamide	nicotinamide phosphoribosyltransferase
hsa00520	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)	NANP	N-acetylneuraminic	N-acetylneuraminic acid phosphatase
hsa00520	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)	NANS	N-acetylneuraminate	N-acetylneuraminate synthase
hsa00760	Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism - Homo sapiens (human)	NAPRT	nicotinate	nicotinate phosphoribosyltransferase
hsa00480	Metabolism of other amino acids	Glutathione metabolism - Homo sapiens (human)	NAT8	N-acetyltransferase	N-acetyltransferase 8 (putative)
hsa00250	Amino acid metabolism	Alanine, aspartate and glutamate metabolism - Homo sapiens (human)	NAT8L	N-acetyltransferase	N-acetyltransferase 8 like
hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NDUFA1	NADH:ubiquinone	NADH:ubiquinone oxidoreductase subunit A1
hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NDUFA10	NADH:ubiquinone	NADH:ubiquinone oxidoreductase subunit A10
hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NDUFA11	NADH:ubiquinone	NADH:ubiquinone oxidoreductase subunit A11
hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NDUFA12	NADH:ubiquinone	NADH:ubiquinone oxidoreductase subunit A12
hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NDUFA13	NADH:ubiquinone	NADH:ubiquinone oxidoreductase subunit A13
hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NDUFA2	NADH:ubiquinone	NADH:ubiquinone oxidoreductase subunit A2
hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NDUFA3	NADH:ubiquinone	NADH:ubiquinone oxidoreductase subunit A3
hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NDUFA4	NDUFA4	NDUFA4 mitochondrial complex associated
hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NDUFA4L2	NDUFA4	NDUFA4 mitochondrial complex associated like 2
hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NDUFA5	NADH:ubiquinone	NADH:ubiquinone oxidoreductase subunit A5
hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NDUFA6	NADH:ubiquinone	NADH:ubiquinone oxidoreductase subunit A6
hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NDUFA7	NADH:ubiquinone	NADH:ubiquinone oxidoreductase subunit A7
hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NDUFA8	NADH:ubiquinone	NADH:ubiquinone oxidoreductase subunit A8
