ID	LncRNA name	Species	Biological processes	Cellular component	Molecular fucntions	Clinical applications	Disease	Disease category	drug Resistance/chemoresistance/stress	Mutation	Methods	Sample	Organoid	Expression pattern	Function type	Interaction target	Mode of interaction	Expression pattern of Interaction target	Level of interaction	Type of interaction	Detailed Pathway	PMID	Year	Description of disease/function/interaction
EL2921	LNCARSR	Homo sapiens	Disease-relevant functions	N/A	Recruiting protein complexes	Therapeutic target	hepatocellular carcinoma	Cancer	doxorubicin	N/A	qRT-PCR, knockdown, Western blot, overexpression, Luciferase reporter assays	hepatocellular carcinoma tissues, hepatocellular carcinoma cells tissues and corresponding non-tumor tissues	N/A	up-regulated	interaction	PTEN	Regulated	up-regulated	lncRNA-Protein	binding	lncARSR |bind|NF-κB |activate|Akt|promote|hepatocellular carcinoma	35678308	2022	The lncARSR/PTEN/Akt/nuclear factor-kappa B feedback regulatory loop contributes to doxorubicin resistance in hepatocellular carcinoma.
EL2963	LncDACH1	Homo sapiens	Apoptosis	N/A	Recruiting protein complexes	Promote disease	diabetic cardiomyopathy	Others	high glucose	N/A	knockdown, overexpression	cardiomyocytes, DCM hearts	N/A	up-regulated	interaction	SIRT3	Regulate	down-regulated	lncRNA-Protein	binding	LncDACH1|bind|SIRT3|promote|mitochondrial oxidative stress of cardiomyocytes and diabetic cardiomyopathy	34668131	2022	LncDACH1 promotes mitochondrial oxidative stress of cardiomyocytes by interacting with sirtuin3 and aggravates diabetic cardiomyopathy.
EL2969	lnc-DILC	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	Inhibit disease	clear cell renal cell carcinoma	Cancer	N/A	N/A	RIP,RNA pull-down,co-immunoprecipitation,qRT-PCR, knockdown, overexpression, western blot	ccRCC cells	N/A	down-regulated	interaction	PTEN	Regulate	N/A	lncRNA-Protein	binding	lnc-DILC丨bind to丨PTEN丨and丨suppressed丨its degradation	31592114	2019	Long noncoding RNA lnc-DILC stabilizes PTEN and suppresses clear cell renal cell carcinoma progression.
EL2977	lncenc1	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	Disease treatment	neuropathic pain	Others	N/A	N/A	knockdown, overexpression	nESCs	N/A	up-regulated	interaction	EZH2	Regulate	down-regulated	lncRNA-Protein	binding	lncenc1|bind|EZH2|promote| neuropathic pain	33340495	2021	lncRNA embryonic stem cells expressed 1 (lncenc1) is identified as a novel regulator in neuropathic pain by interacting with EZH2 and downregulating the expression of Bai1 in mouse microglia
EL3012	lnc-HC-hnRNPA2B1	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	Disease diagnosis	metabolic syndrome	Others	N/A	N/A	knockdown	N/A	N/A	up-regulated	interaction	CYP7A1	Regulate	N/A	lncRNA-miRNA	binding	lnc-HC丨up-regulated丨by丨high cholesterol丨by丨the transcription activator	26663205	2016	A novel long noncoding RNA Lnc-HC binds hnRNPA2B1 to regulate expressions of Cyp7a1 and Abca1 in hepatocytic cholesterol metabolism.
EL3020	LncHrt	Homo sapiens	Disease-relevant functions	Cytoplasm	Gene regulation	Therapeutic target	ischemic heart disease	Others	N/A	N/A	qRT-PCR, knockdown, overexpression, mass spectrometry and RNA immunoprecipitation (RIP)	mouse model of myocardial infarction (MI)	N/A	down-regulated	interaction	SIRT2	Regulate	down-regulated	lncRNA-Protein	regulation	LncHrt|regulate|SIRT2 signaling pathways|preserving|heart function	34379189	2021	LncHrt is a potentially novel RNA-based therapeutic target for ischemic heart disease.
EL3035	lnc-IL7R	Homo sapiens	Apoptosis	N/A	Recruiting protein complexes	Therapeutic target	chronic obstructive pulmonary disease	Others	N/A	N/A	knockdown, overexpression	PM2.5-treated cells	N/A	down-regulated	interaction	EZH2	Regulate	up-regulated	lncRNA-Protein	binding	Lnc-IL7R|bind|EZH2	35303175	2022	Lnc-IL7R alleviates PM(2.5)-mediated cellular senescence and apoptosis through EZH2 recruitment in chronic obstructive pulmonary disease.
EL3054	LNC-LBCS	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	Inhibit disease	bladder cancer	Cancer	N/A	N/A	microarray, gain and loss of function, knockdown	BCSCs model , BCSCs and cancer tissues	N/A	down-regulated	interaction	EZH2	Regulate	N/A	lncRNA-Protein	binding	Lnc-LBCS丨binds to丨hnRNPK and EZH2丨serves as丨a scaffold丨to induce丨the formation of this complex丨to repress丨SOX2 transcription丨via丨mediating丨histone H3 lysine 27 tri-methylation (H3K27me3)	30397178	2019	Long noncoding RNA LBCS inhibits self-renewal and chemoresistance of bladder cancer stem cells through epigenetic silencing of SOX2.
EL3134	LNCPRESS1	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	Disease diagnosis	N/A	N/A	N/A	N/A	qRT-PCR	human embryonic stem cells	N/A	differential expression	interaction	SIRT6	Regulate	N/A	lncRNA-Protein	binding	lncPRESS1|bind|SIRT6|prevent|SIRT6 chromatin localization|maintain|high levels of histone H3K56 and H3K9 acetylation at promoters of pluripotency genes	27912097	2016	A p53-regulated, pluripotency-specific lncRNA that safeguards the hESC state by disrupting SIRT6 activity.
EL3304	LNCRNA-ATB	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	Disease diagnosis	renal cell carcinoma	Cancer	N/A	N/A	RIP, ChIP, western blot, knockdown, overexpression,	RCC cell line A-498	N/A	up-regulated	interaction	DNMT1	Regulate	N/A	lncRNA-Protein	binding	LncRNA ATB丨bind to丨DNMT1丨stabilize丨its expression丨promote丨the binding of DNMT1 to p55	30536843	2019	Long noncoding RNA ATB participates in the development of renal cell carcinoma by downregulating p53 via binding to DNMT1.
EL3304	LNCRNA-ATB	Homo sapiens	Cell proliferation	N/A	Gene regulation	Disease treatment	ovarian cancer	Cancer	N/A	N/A	RNA Pull-down, knockdown, overexpression	ovarian cancer cells	N/A	up-regulated	interaction	EZH2	Regulate	up-regulated	lncRNA-mRNA	regulation	ATB|upregulate| EZH2| promote| ovarian cancer tumorigenesis	33336896	2021	Long noncoding RNA ATB promotes ovarian cancer tumorigenesis by mediating histone H3 lysine 27 trimethylation through binding to EZH2
EL3370	lncRNA-SVUGP2	Homo sapiens	Disease-relevant functions	N/A	Signaling pathways regulation	Disease diagnosis	non-small cell lung cancer	Cancer	N/A	N/A	Overexpression	Sixty paired NSCLC tumour and the adjacent non-tumour lung tissues, NSCLC cells	N/A	down-regulated	interaction	EZH2	Regulate	N/A	lncRNA-Protein	binding	the reduced expression of lncRNA-SVUGP2丨enhance丨the development and process of NSCLC丨by丨interacting with丨EZH2 丨activating丨Wnt/β-catenin pathway	31401873	2019	Repression of lncRNA-SVUGP2 mediated by EZH2 contributes to the development of non-small cell lung cancer via brisking Wnt/β-catenin signal.
EL3381	lncROPM	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	Disease treatment	breast cancer	Cancer	N/A	N/A	qRT-PCR, RNA Pull-down	breast cancer stem cell	N/A	up-regulated	interaction	PLA2G16	Regulate	down-regulated	lncRNA-Protein	regulation	lncROPM|bind|PLA2G16|activate|PI3K/AKT, Wnt/β-catenin, and Hippo/YAP signaling|promote|breast cancer	34715882	2021	Mechanistically, lncROPM regulates PLA2G16 expression by directly binding to 3'-UTR of PLA2G16 to increase the mRNA stability. The increased PLA2G16 significantly promotes phospholipid metabolism and the production of free fatty acid, especially arachidonic acid in BCSCs, thereby activating PI3K/AKT, Wnt/β-catenin, and Hippo/YAP signaling, thus eventually involving in the maintenance of BCSCs stemness.
EL3399	lncSAMD11-1:1	Homo sapiens	decidualization	N/A	Recruiting protein complexes	Therapeutic target	recurrent implantation failure	Others	N/A	N/A	qRT-PCR, knockdown	human endometrial stromal cells	N/A	up-regulated	interaction	PIP4K2A	Regulate	down-regulated	lncRNA-miRNA	binding	lncSAMD11-1: 1|bind|PIP4K2A|inhinit|phosphorylation of AKT|promote endometrial decidualization	35987479	2022	A novel lncRNA lncSAMD11-1: 1 interacts with PIP4K2A to promote endometrial decidualization by stabilizing FoxO1 nuclear localization.
EL3463	lncZNRD1	Homo sapiens	Apoptosis	N/A	Signaling pathways regulation	Inhibit disease	diabetic retinopathy	Others	high glucose	N/A	qRT-PCR, knockdown	Diabetic Rat Model, retinal microvascular endothelial cells	N/A	down-regulated	interaction	ALDH3A2	Regulate	up-regulated	lncRNA-Protein	regulation	lncZNRD1|regulate|ALDH7A1 and ALDH3A2|inhibit|high glucose-induced retina cell injury	36299680	2022	LncZNRD1 might have beneficial functions against high glucose-induced retina cell injury by regulating the expression of ALDH7A1 and ALDH3A2.
EL3463	lncZNRD1	Homo sapiens	Apoptosis	N/A	Signaling pathways regulation	Inhibit disease	diabetic retinopathy	Others	high glucose	N/A	qRT-PCR, knockdown	Diabetic Rat Model, retinal microvascular endothelial cells	N/A	down-regulated	interaction	ALDH7A1	Regulate	up-regulated	lncRNA-Protein	regulation	lncZNRD1|regulate|ALDH7A1 and ALDH3A2|inhibit|high glucose-induced retina cell injury	36299680	2022	LncZNRD1 might have beneficial functions against high glucose-induced retina cell injury by regulating the expression of ALDH7A1 and ALDH3A2.
EL3473	LOC100129617	Homo sapiens	Disease-relevant functions	Cytoplasm	Signaling pathways regulation	Inhibit disease	cancer	Cancer	N/A	N/A	knockdown, RIP	B cell cancer cell	N/A	up-regulated	interaction	PLD1	Regulate	up-regulated	lncRNA-Protein	regulation	BCALM |upregulate|PLD1 | downmodulates | BCR-mediated Ca+ signaling|promote| negative feedback	32571842	2020	BCALM promotes negative feedback that downmodulates BCR-mediated Ca+ signaling by promoting phosphorylation of PLD1 by AKAP-associated kinases, enhancing production of PA
EL3620	LOXL1-AS1	Homo sapiens	Disease-relevant functions	N/A	Sponging miRNAs	Metastasis 	breast cancer	Cancer	N/A	N/A	overexpression	MCF7 (with low metastatic potential), MDA-MB-231 (with high metastatic potential) cells	N/A	up-regulated	interaction	EZH2	Regulate	N/A	lncRNA-Protein	binding	LOXL1-AS1丨interact with丨EZH2 protein丨to丨enhance丨EZH2-mediated transcriptional repression of mir-708-5p	31945728	2020	LOXL1-AS1 upregulation facilitates breast cancer invasion and metastasis by blocking miR-708-5p expression and activity.
EL3643	LSINCT5	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	Disease diagnosis	osteosarcoma	Cancer	N/A	N/A	knockdown, rescue assay	OS tissues than adjacent normal tissues	N/A	up-regulated	interaction	EZH2	Regulate	N/A	lncRNA-Protein	binding	LSINCT5丨interacted with丨EZH2丨to丨suppress丨the expression of APC	30420287	2018	Long noncoding RNA LSINCT5 acts as an oncogene via increasing EZH2-induced inhibition of APC expression in osteosarcoma.
EL3665	LUCAT1	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	Therapeutic target	esophageal squamous cell carcinoma	Cancer	N/A	N/A	knockdown	esophageal squamous cell carcinoma cell lines and cancer tissue, normal cells, adjacent normal tissues	N/A	down-regulated	interaction	DNMT1	Regulate	N/A	lncRNA-Protein	regulation	LUCAT1丨regulates丨the stability of DNMT3丨inhibits丨the expression of tumor suppressors丨through丨DNA methylation丨leading to丨the formation and metastasis of ESCC	29247823	2018	LUCAT1 as a potential target for drug development and as a biomarker for ESCC.
EL3667	Lx8-SINE B2	Homo sapiens	Cell proliferation	Cytoplasm	Chromatin regulation	Therapeutic target	N/A	N/A	N/A	N/A	qRT-PCR, knockdown, Western blot, overexpression, Luciferase reporter assays, RNA pull-down	embryonic stem cells	N/A	up-regulated	interaction	ENO1	Regulate	down-regulated	lncRNA-Protein	binding	Lx8-SINE B2 |interact| Eno1 |Regulate| Self-Renewal and Metabolism of Embryonic Stem Cells	36087098	2022	Lx8-SINE B2 Interacts with Eno1 to Regulate Self-Renewal and Metabolism of Embryonic Stem Cells
EL3680	MACC1-AS1	Homo sapiens	Cell proliferation	N/A	Gene regulation	Promote disease	lung adenocarcinoma	Cancer	N/A	N/A	qRT-PCR,western blot	LUAD tissues	N/A	up-regulated	interaction	PTEN	Regulate	N/A	lncRNA-DNA	regulation	MACC1-AS1丨upregulated丨in丨LUAD丨and丨inversely丨correlated with丨PTEN	32109147	2020	LncRNA MACC1-AS1 Promotes Lung Adenocarcinoma Cell Proliferation by Downregulating PTEN.
EL3687	MAGI2-AS3	Homo sapiens	Apoptosis	N/A	Gene regulation	Disease treatment	esophageal cancer	Cancer	N/A	N/A	overexpression, RNA Pull-down, Luciferase reporter assays	Esophageal Cancer Cells	N/A	down-regulated	interaction	EZH2	Regulate	up-regulated	lncRNA-mRNA	regulation	MAGI2-AS3|downregulate|EZH2|downregulate|HOXB7|promote| overexpression Sensitizes Esophageal Cancer Cells to Irradiation	33330444	2020	LncRNA MAGI2-AS3 overexpression Sensitizes Esophageal Cancer Cells to Irradiation Through Down-Regulation of HOXB7 via EZH2
EL3692	MALAT1	Homo sapiens	Disease-relevant functions	Nucleus	Gene regulation	Therapeutic target	HER2+ breast cancer	Cancer	N/A	N/A	qRT-PCR, knockdown, Western blot, overexpression, Luciferase reporter assays	cell lines and mouse xenograft models	N/A	up-regulated	interaction	DNMT1	Regulate	down-regulated	lncRNA-miRNA	regulation	MALAT1|down-regulate|DNMT1|DNMT3a|DNMT3b|up-regulate|BRCA1|PTEN	34148540	2021	MALAT1 by shRNA down-regulated DNMT1, DNMT3a, and DNMT3b, while up-regulated BRCA1 and PTEN in HER2-positive breast cancer and promotes Tumorigenesis and Increases Cellular Sensitivity to Herceptin in HER2-positive Breast Cancer.
EL3692	MALAT1	Homo sapiens	Disease-relevant functions	Nucleus	Gene regulation	Therapeutic target	HER2+ breast cancer	Cancer	N/A	N/A	qRT-PCR, knockdown, Western blot, overexpression, Luciferase reporter assays	cell lines and mouse xenograft models	N/A	up-regulated	interaction	DNMT3B	Regulate	down-regulated	lncRNA-Protein	regulation	MALAT1|down-regulate|DNMT1|DNMT3a|DNMT3b|up-regulate|BRCA1|PTEN	34148540	2021	MALAT1 by shRNA down-regulated DNMT1, DNMT3a, and DNMT3b, while up-regulated BRCA1 and PTEN in HER2-positive breast cancer and promotes Tumorigenesis and Increases Cellular Sensitivity to Herceptin in HER2-positive Breast Cancer.
EL3692	MALAT1	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	Disease treatment	prostate cancer	Cancer	N/A	N/A	qRT-PCR, RIP-Seq, knockdown, ChIP	cell lines (C4-2, PC-3, LNCaP)	N/A	up-regulated	interaction	EZH2	Regulate	N/A	lncRNA-Protein	binding	EZH2丨binds to丨MALAT1丨interacts with丨the N-terminal of EZH2	26516927	2015	We showed that MALAT1 enhances expression of PRC2-independent target genes of EZH2 in CRPC cells in culture and patient-derived xenografts. Together, these data indicate that MALAT1 may be a crucial RNA cofactor of EZH2 and that the EZH2-MALAT1 association may provide a new avenue for development new strategies for treatment of CRPC.
EL3692	MALAT1	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	Inhibit disease	gastric cancer	Cancer	N/A	N/A	RNA immunoprecipitation, RIP-seq	gastric cancer cell lines	N/A	N/A	interaction	EZH2	Regulate	N/A	lncRNA-Protein	binding	Long noncoding RNA (lncRNA) MALAT1丨binds丨EZH2丨suppresses丨the tumor suppressor PCDH10丨promotes丨gastric cellular migration and invasion	26871474	2016	suppresses the tumor suppressor PCDH10 and promotes gastric cellular migration and invasion
EL3692	MALAT1	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	Disease diagnosis	mantle cell lymphoma	Cancer	N/A	N/A	qRT-PCR,knockdown	MALAT1 in MCL cell lines	N/A	differential expression	interaction	EZH2	Regulate	N/A	lncRNA-Protein	binding	decreased phosphorylation of EZH2 at T350丨attenuated丨the binding to丨MALAT1	27998273	2016	Decreased phosphorylation of EZH2 at T350 attenuated the binding to MALAT1.
EL3692	MALAT1	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	Prognosis	colorectal cancer	Cancer	N/A	N/A	knockdown	established HT29 oxaliplatin-resistant cells	N/A	up-regulated	interaction	EZH2	Regulate	N/A	lncRNA-Protein	binding	EZH2丨associated with丨the 3' end region of lncRNA MALAT1 in colorectal cancer	28069878	2017	LncRNA MALAT1 may serve as a promising prognostic and therapeutic target for colorectal cancer patients.
EL3692	MALAT1	Homo sapiens	Disease-relevant functions	N/A	Chromatin regulation	Disease diagnosis	lymphoma	Cancer	N/A	N/A	microarray, Immunohistochemistry, RNA immunoprecipitation assay, western blot, qRT-PCR	T and NK cell lymphomas, B cell lymphoma	N/A	up-regulated	interaction	EZH2	Regulate	N/A	lncRNA-Protein	binding	MALAT1丨binds to丨EZH2 and SUZ12丨BMI1 activation丨induced丨through丨H3K27me3	28412742	2017	MALAT1 directly binds to EZH2 and SUZ12, and BMI1 activation may be induced possibly through H3K27me3.
EL3692	MALAT1	Homo sapiens	EMT	N/A	Signaling pathways regulation	Promote disease	esophageal cancer	Cancer	N/A	N/A	qRT-PCR, knockdown, overexpression, western blot,	TE-1 and EC109 cells	N/A	up-regulated	interaction	EZH2	Regulate	N/A	lncRNA-Protein	binding	Expression of Ezh2, Notch1, Hes1, MMP-9, and Vimentin丨decreased丨expression of E-cadherin丨 increased	29916899	2018	LncRNA MALAT1 promotes epithelial-to-mesenchymal transition of esophageal cancer through Ezh2-Notch1 signaling pathway.
EL3692	MALAT1	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	Disease diagnosis	gallbladder cancer	Cancer	N/A	N/A	Microarray, knockdown,	in GBC tissues and cell lines.	N/A	up-regulated	interaction	EZH2	Regulate	N/A	lncRNA-Protein	binding	MALAT1丨down-regulate丨ABI3BP expression丨through丨recruitment of the enhancer of zeste homolog 2 (EZH2)丨to丨the ABI3BP promoter region丨the silencing of MALAT1 or suppression of H3K27 methylation丨promote丨the expression of ABI3BP	31174563	2019	Long noncoding RNA MALAT1 potentiates growth and inhibits senescence by antagonizing ABI3BP in gallbladder cancer cells.
EL3692	MALAT1	Homo sapiens	Apoptosis	N/A	Gene regulation	Promote disease	sepsis	Others	lipopolysaccharide (LPS)	N/A	knockdown	septic mice and human skeletal muscle cells of sepsis	N/A	up-regulated	interaction	EZH2	Regulate	N/A	lncRNA-Protein	binding	lncRNA MALAT1丨interacting with丨EZH2丨stimulated丨AKT-1 phosphorylation 丨decreased丨BRCA1 expression	31830649	2020	lncRNA MALAT1 Accelerates Skeletal Muscle Cell Apoptosis and Inflammatory Response in Sepsis by Decreasing BRCA1 Expression by Recruiting EZH2.
EL3692	MALAT1	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	Promote disease	hepatocellular carcinoma	Cancer	N/A	N/A	Knockdown, qRT-PCR, western blot, ChIP, RIP, RNA pull-down, Luciferase reporter assay,	HCC specimens and matched adjacent normal tissues, HepG2, Hep3B, HuH7, and PLC/PRF5 cells	N/A	up-regulated	interaction	EZH2	Regulate	N/A	lncRNA-Protein	binding	MALAT1丨facilitated丨the enrichment of enhancer of zeste homolog 2 (EZH2)丨at the promoter region of mir-22 and E-cadherin丨repressed丨by丨MALAT1 knockdown	32129914	2020	In conclusion, our results reveal a mechanism by which MALAT1 promotes HCC progression and provides a potential target for HCC therapy.
EL3692	MALAT1	Homo sapiens	Disease-relevant functions	N/A	Recruiting protein complexes	Therapeutic target	pancreatic cancer	Cancer	dioxins, polycyclic aromatic carbons	N/A	qRT-PCR, western blot, Luciferase reporter assays, knockdown	pancreatic cancer cell	N/A	up-regulated	interaction	EZH2	Regulate	up-regulated	lncRNA-Protein	binding	MALAT1|bind|EZH2|promote| pancreatic cancer cells and tissues.	32900487	2020	Regulation of a long noncoding RNA MALAT1 by aryl hydrocarbon receptor in pancreatic cancer cells and tissues.
EL3692	MALAT1	Homo sapiens	Apoptosis	N/A	Recruiting protein complexes	Disease treatment	sepsis-induced myocardial dysfunction	Others	N/A	N/A	qRT-PCR, knockdown, Western blot, overexpression	SIMD rats	N/A	up-regulated	interaction	EZH2	Regulate	up-regulated	lncRNA-TF	binding	MALAT1|bind|EZH2|downregulate|USP22|promote|SIMD	35726125	2022	MALAT1 decreased USP22 expression by interacting with EZH2, thereby worsening SIMD.
EL3692	MALAT1	Homo sapiens	Disease-relevant functions	N/A	Recruiting protein complexes	Therapeutic target	acute myeloid leukemia	Cancer	N/A	N/A	qRT-PCR, knockdown	AML cell lines	N/A	up-regulated	interaction	EZH2	Regulate	up-regulated	lncRNA-Protein	binding	MALAT-1|bind|EZH2/SUZ12|promote|transcriptional silencing of E-cadherin gene	35747989	2022	MALAT-1 might lead to the transcriptional silencing of E-cadherin gene through the trimethylation of H3K27 mediated by recruiting EZH2 and SUZ12.
EL3692	MALAT1	Homo sapiens	E-cadherin gene silencing	N/A	Recruiting protein complexes	Therapeutic target	acute myelocytic leukemia	Cancer	N/A	N/A	qRT-PCR, knockdown	AML cell lines	N/A	up-regulated	interaction	EZH2	Regulate	up-regulated	lncRNA-Protein	regulation	MALAT-1|bind|EZH2|mediate|trimethylation of H3K27|promote|silencing of E-cadherin gene	35747989	2022	MALAT-1 might lead to the transcriptional silencing of E-cadherin gene through the trimethylation of H3K27 mediated by recruiting EZH2 and SUZ12.
EL3692	MALAT1	Homo sapiens	Cell proliferation	N/A	Chromatin regulation	Promote disease	acute liver injury	Others	N/A	N/A	qRT-PCR, knockdown, Western blot, overexpression, Luciferase reporter assays	HL7702 cells	N/A	up-regulated	interaction	EZH2	Regulate	up-regulated	lncRNA-Protein	binding	MALAT1|bind|EZH2|downregulate|GFER|activate|the AMPK/mTOR signaling pathway|inhibit|Normal Hepatocyte Proliferation in Acute Liver Injury|promote|Acute Liver Injury	36406327	2023	MALAT1-mediated EZH2 Recruitment to the GFER Promoter Region Curbs Normal Hepatocyte Proliferation in Acute Liver Injury
EL3692	MALAT1	Homo sapiens	Cell proliferation	N/A	Signaling pathways regulation	Therapeutic target	head and neck squamous cell carcinoma	Cancer	N/A	N/A	qRT-PCR, knockdown, Western blot, overexpression, Luciferase reporter assays	HNSCC tissues	N/A	up-regulated	interaction	EZH2	Regulate	up-regulated	lncRNA-Protein	regulation	MALAT1|upregulate|EZH2|activite|STAT3 and Akt signaling|inhibit|VHL|activite|s β-catenin and NF-κB pathways|promote|growth and metastasis of head and neck squamous cell carcinoma	36813772	2023	LncRNA MALAT1 promotes growth and metastasis of head and neck squamous cell carcinoma by repressing VHL through a non-canonical function of EZH2
EL3692	MALAT1	Homo sapiens	Disease-relevant functions	Nucleus	Gene regulation	Therapeutic target	HER2+ breast cancer	Cancer	N/A	N/A	qRT-PCR, knockdown, Western blot, overexpression, Luciferase reporter assays	cell lines and mouse xenograft models	N/A	up-regulated	interaction	PTEN	Regulate	up-regulated	lncRNA-Protein	regulation	MALAT1|down-regulate|DNMT1|DNMT3a|DNMT3b|up-regulate|BRCA1|PTEN	34148540	2021	MALAT1 by shRNA down-regulated DNMT1, DNMT3a, and DNMT3b, while up-regulated BRCA1 and PTEN in HER2-positive breast cancer and promotes Tumorigenesis and Increases Cellular Sensitivity to Herceptin in HER2-positive Breast Cancer.
EL3692	MALAT1	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	Disease diagnosis	N/A	N/A	glucose	N/A	qRT-PCR, western blot, ELISA, RIP,RNA pull-down, Dual luciferase reporter assay	kidney tissues of diabetic mice and HK-2 cells treated with high glucose	N/A	up-regulated	interaction	SIRT1	Regulate	N/A	lncRNA-DNA	binding	Foxo1|bind|SIRT1 promoter|activate|SIRT1 transcription    MALAT1| target|Foxo1|inhibit|SIRT1 expression	29928873	2018	LncRNA MALAT1 interacts with transcription factor Foxo1 to represses SIRT1 transcription in high glucose incubated HK-2 cells, which promotes high glucose-induced HK-2 cells injury.
EL3713	MAPT-AS1	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	Disease diagnosis	parkinson's disease	Others	N/A	N/A	Overexpression, Knockdown, luciferase assay	four braregions with varying degrees of cell loss and pathology (putamen, anterior cingulate cortex, visual cortex and cerebellum)	N/A	down-regulated	interaction	DNMT1	Regulate	N/A	lncRNA-Protein	regulation	Overexpression of MAPT-AS1丨decreased丨MAPT promoter activity丨by fold in two cell lines	27336847	2016	MAPT-AS1 and DNMT1 have been identified as potential epigenetic regulators of MAPT expression in PD across four different brain regions. Increased MAPT expression could be associated with disease state, but not with PD neuropathology severity.
EL3713	MAPT-AS1	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	Disease diagnosis	parkinson's disease	Others	N/A	N/A	Overexpression, Knockdown, luciferase assay	four braregions with varying degrees of cell loss and pathology (putamen, anterior cingulate cortex, visual cortex and cerebellum)	N/A	down-regulated	interaction	DNMT3A	Regulate	N/A	lncRNA-Protein	regulation	Overexpression of MAPT-AS1丨decreased丨MAPT promoter activity丨by丨fold in two cell lines	27336847	2016	MAPT-AS1 and DNMT1 have been identified as potential epigenetic regulators of MAPT expression in PD across four different brain regions. Increased MAPT expression could be associated with disease state, but not with PD neuropathology severity.
EL3730	MCM3AP-AS1	Homo sapiens	Disease-relevant functions	N/A	Signaling pathways regulation	Disease diagnosis	prostate cancer	Cancer	N/A	N/A	RNA pulldown, RIP, ChIP, overexpression, knockdown	PCa cells	N/A	up-regulated	interaction	DNMT1	Regulate	N/A	lncRNA-Protein	binding	MCM3AP-AS1丨promoted丨methylation丨of NPY1R promoter丨via丨recruitment of DNMT1/DNMT5 (A/B)	32193153	2020	MCM3AP-AS1 silencing inhibits PCa progression by disrupting methylation of the NPY1R promoter to inactivate the MAPK pathway.
EL3730	MCM3AP-AS1	Homo sapiens	Disease-relevant functions	N/A	Signaling pathways regulation	Disease diagnosis	prostate cancer	Cancer	N/A	N/A	RNA pulldown, RIP, ChIP, overexpression, knockdown	PCa cells	N/A	up-regulated	interaction	DNMT3A	Regulate	N/A	lncRNA-Protein	binding	MCM3AP-AS1丨promoted丨methylation of NPY1R promoter丨via丨recruitment of DNMT1/DNMT5 (A/B)	32193153	2020	MCM3AP-AS1 silencing inhibits PCa progression by disrupting methylation of the NPY1R promoter to inactivate the MAPK pathway.
EL3730	MCM3AP-AS1	Homo sapiens	Disease-relevant functions	N/A	Signaling pathways regulation	Disease diagnosis	prostate cancer	Cancer	N/A	N/A	RNA pulldown, RIP, ChIP, overexpression, knockdown	PCa cells	N/A	up-regulated	interaction	DNMT3B	Regulate	N/A	lncRNA-Protein	binding	MCM3AP-AS1丨promoted丨methylation of NPY1R promoter丨via丨recruitment of DNMT1/DNMT5 (A/B)	32193153	2020	MCM3AP-AS1 silencing inhibits PCa progression by disrupting methylation of the NPY1R promoter to inactivate the MAPK pathway.
EL3742	MEG3	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	Disease diagnosis	glioma	Cancer	N/A	N/A	qRT-PCR, knockdown, Western blot, overexpression, RNAi	gliomas tissues	N/A	down-regulated	interaction	DNMT1	Regulate	N/A	DNA-Protein	regulation	DNMT1-mediated MEG3 hypermethylation丨caused丨the loss of MEG3 expression丨followed by丨the inhibition of the p55 pathways in gliomas	26676363	2016	The downregulation of MEG3 expression due to hypermethylation of MEG3 was observed in gliomas tissues. Treatment of glioma cells with the DNA methylation inhibitor 5-Aza-2'-deoxycytidine (5-AzadC) decreased aberrant hypermethylation of the MEG3 promoter and prevented the loss of MEG3 expression.
EL3742	MEG3	Homo sapiens	Cell proliferation	N/A	Gene regulation	Disease diagnosis	lung cancer	Cancer	N/A	N/A	knockdown	A549 and SK-MES-1 cells, mouse embryonic fibroblasts (MEFs)	N/A	down-regulated	interaction	DNMT1	Regulate	N/A	DNA-Protein	regulation	Disruption of the pRb-DNMT1 pathway丨leads to丨a decrease丨in MEG5 expression丨contributing to丨the pro-proliferative state of certain cancer cells	27832204	2016	MEG3 expression is regulated by the retinoblastoma protein (Rb) pathway and correlates with a change in cell proliferation.
