ID	LncRNA name	Species	Biological processes	Cellular component	Molecular fucntions	Clinical applications	Disease	Disease category	drug Resistance/chemoresistance/stress	Mutation	Methods	Sample	Organoid	Expression pattern	Function type	Interaction target	Mode of interaction	Expression pattern of Interaction target	Level of interaction	Type of interaction	Detailed Pathway	PMID	Year	Description of disease/function/interaction	Matches
EL3692	MALAT1	Homo sapiens	Apoptosis , Cell proliferation	N/A	Gene regulation	Disease treatment	pembrolizumab potentiates cancer	Cancer	N/A	N/A	qRT-PCR, Western blot, overexpression	Pembrolizumab potentiates cancer cell	N/A	down-regulated	interaction	miR-20b-5p	Regulated	up-regulated	lncRNA-miRNA	regulation	microRNA-20b-5p|downregulate|MALAT1|promote| combing Pembrolizumab potentiates cancer cells	34968160	2022	microRNA-20b-5p overexpression combing Pembrolizumab potentiates cancer cells to radiation therapy via repressing programmed death-ligand 1.	
EL3692	MALAT1	Homo sapiens	osteogenic differentiation	N/A	Sponging miRNAs	N/A	N/A	N/A	N/A	N/A	qRT-PCR	human mesenchymal stem cells	N/A	up-regulated	interaction	miR-214-3p	Regulate	down-regulated	lncRNA-miRNA	binding	MALAT1|bind|miR-214-3p|promote|osteogenic differentiation	35124770	2022	lncRNAs MALAT1 and LINC00657 upstream to miR-214-3p/BMP2 regulate osteogenic differentiation of human mesenchymal stem cells.	
EL3692	MALAT1	Homo sapiens	Autophagy	N/A	Sponging miRNAs	Promote disease	atherosclerosis	Others	ox-LDL	N/A	qRT-PCR, luciferase reporter assay, western blot, RIP, immunofluorescence analysis	human umbilical vein endothelial cells	N/A	up-regulated	interaction	miR-216a-5p	Regulate	N/A	lncRNA-miRNA	binding	MALAT1丨directly丨binded to丨miR-216a-5p丨and丨MALAT1丨enhanced丨Beclin-1 expression丨by丨sponging丨miR-216a-5p	31029709	2019	Ox-LDL-induced lncRNA MALAT1 promotes autophagy in human umbilical vein endothelial cells by sponging miR-216a-5p and regulating Beclin-1 expression.	
EL3692	MALAT1	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	Disease diagnosis	breast invasive ductal carcinoma	Cancer	N/A	N/A	mimics, luciferase reporter assay, knockdown,	patients with IDC	N/A	up-regulated	interaction	miR-216b-5p	Regulate	N/A	lncRNA-miRNA	binding	Knockdown of MALAT1丨resulted in丨an increase丨of丨miR-216b-5p丨indicating丨 a regulatory mechanism丨of丨competing endogenous RNAs	30982780	2019	Pyridoxine 5'-phosphate oxidase is correlated with human breast invasive ductal carcinoma development.	
EL3692	MALAT1	Homo sapiens	Cell proliferation	N/A	Gene regulation	Inhibit disease	esophageal squamous cell carcinoma	Cancer	N/A	N/A	qRT-PCR, Luciferase reporter assay	ESCC tissue, cell lines (KYSE30, KYSE150, KYSE450)	N/A	up-regulated	interaction	miR-217	Regulate	N/A	lncRNA-miRNA	regulation	miR-101 or miR-217丨negatively丨correlate with丨MALAT1	25538231	2015	In this study, we provide first evidences that a posttranscriptional regulation mechanism of MALAT1 by miR-101 and miR-217 exists in ESCC cells. This posttranscriptional silencing of MALAT1 could significantly suppress the proliferation of ESCC cells through the arrest of G2/M cell cycle, which may be due to MALAT1-mediated upregulation of P21 and P27 expression and the inhibition of B-MYB expression.	
EL3692	MALAT1	Homo sapiens	Cell Differentiation	N/A	Gene regulation	Therapeutic target	N/A	N/A	lipopolysaccharide(LPS);HGF	N/A	RIP, knockdown, overexpression,	HSC-T6 cells, BRL-3 A cells and differentiated BM-MSCs	N/A	up-regulated	interaction	miR-217	Regulate	N/A	lncRNA-miRNA	binding	MALAT1丨physically丨associated with丨miR-217丨enhancing丨the expression丨of丨TERT丨so as丨to丨augment丨telomerase activity	30658864	2019	Β-catenin-coordinated lncRNA MALAT1 up-regulation of ZEB-1 could enhance the telomerase activity in HGF-mediated differentiation of bone marrow mesenchymal stem cells into hepatocytes.	
EL3692	MALAT1	Homo sapiens	Cell Differentiation	Nucleus	Transcription regulation	Therapeutic target	osteoporosis	Others	N/A	N/A	qRT-PCR, knockdown, Western blot, overexpression, Luciferase reporter assays	MC3T3-E1	N/A	up-regulated	interaction	miR-217	Regulate	down-regulated	lncRNA-miRNA	regulation	MALAT1| regulate |miR-217/AKT3 | promote |osteogenic differentiation	35030644	2022	MALAT1 promotes osteogenic differentiation through regulating miR-217/AKT3 axis, suggesting that MALAT1 is a potential target to alleviate osteoporosis.	
EL3692	MALAT1	Homo sapiens	Cell proliferation	N/A	Signaling pathways regulation	Disease diagnosis	renal cell carcinoma	Cancer	N/A	N/A	qRT-PCR, western blot, luciferase reporter assay, Immunofluorescence	RCC cells	N/A	up-regulated	interaction	miR-22-3p	Regulate	N/A	lncRNA-miRNA	binding	miR-22-3p inhibitor丨abolished丨the effect丨of丨MALAT1 shRNA丨on丨cell proliferation丨migration丨and丨inactivation丨of丨PI3K/AKT pathway	30431104	2019	LncR-MALAT1 affected the proliferation and migration of RCC cells by targeting miR-22-3p through the inactivation of the PI3K/Akt signaling pathway.	
EL3692	MALAT1	Homo sapiens	Cell proliferation	N/A	Gene regulation	Inhibit disease	gastric cancer	Cancer	N/A	N/A	overexpression, knockdown	SGC-7901 cells, BGC-823 cells	N/A	up-regulated	interaction	miR-22-3p	Regulate	N/A	lncRNA-miRNA	binding	MALAT1丨negatively丨regulated丨miR-22-3p.	32021298	2020	Silencing of MALAT1 inhibited the proliferation and promoted the apoptosis of GC cells through upregulating miR-22-3p and downregulating ErbB3.	
EL3692	MALAT1	Homo sapiens	Disease-relevant functions	N/A	Sponging miRNAs	Disease diagnosis	gastric cancer	Cancer	oxaliplatin	N/A	Knockdown, overexpression, qRT-PCR, western blot, RNA pull-down, RIP, Luciferase reporter assay	GC tissues and normal tumor-adjacent tissues, Normal cells (GES-1), GC cells (SGC-7901, BGC-823), and GC/OXA cells (SGC-7901/OXA and BCG-823/OXA, with lower OXA sensitivity than the corresponding GC cells), BALB/c nude mice	N/A	up-regulated	interaction	miR-22-3p	Regulate	N/A	lncRNA-miRNA	binding	MALAT1丨target丨miR-22-3p丨target丨ZFP91	32104001	2020	We observed a new regulatory network for MALAT1 in drug resistance of GC. MALAT1 modulates ZFP91 to promote GC cells OXA resistance via sponging miR-22-3p.	
EL3692	MALAT1	Homo sapiens	Autophagy	N/A	Sponging miRNAs	Promote disease	hepatocellular carcinoma	Cancer	Betulinic acid	N/A	knockdown	mouse model	N/A	up-regulated	interaction	miR-22-3p	Regulated	down-regulated	lncRNA-miRNA	binding	MALAT1|bind|miR-22-3p |upregulate| XIAP|promote |hepatocellular carcinoma progression	33135336	2020	lncRNA MALAT1 functioned as a ceRNA (competing endogenous RNA) to contribute to BA-mediated degradation of IAPs by sponging miR-22-3p.	
EL3692	MALAT1	Homo sapiens	Disease-relevant functions	N/A	Sponging miRNAs	Disease treatment	fracture	Others	hypoxia	N/A	qRT-PCR, knockdown, Western blot, overexpression, Luciferase reporter assays	MC3T3-E1 cells	N/A	up-regulated	interaction	miR-22-3p	Regulate	down-regulated	lncRNA-miRNA	regulation	MALAT1|bind|miR-22-3p|promote|bone formation	36541404	2022	Induction of lncRNA MALAT1 by hypoxia promotes bone formation by regulating the miR-22-3p/CEBPD axis	
EL3692	MALAT1	Homo sapiens	Apoptosis	N/A	Sponging miRNAs	Inhibit disease	oral squamous cell carcinoma	Cancer	N/A	N/A	overexpression	OSCC tissues	N/A	up-regulated	interaction	miR-224-5p	Regulate	down-regulated	lncRNA-miRNA	regulation	METTL14|bind|miR-224-5p|promote|KDM2A transcription|limit|tumor growth	35467063	2023	MALAT1 comparatively bound to miR-224-5p to promote KDM2A transcription. In vivo, METTL14 limited tumor growth via regulating MALAT1/miR-224-5p/ KDM2A.	
EL3692	MALAT1	Homo sapiens	Cell proliferation	N/A	Signaling pathways regulation	Disease treatment	renal fibrosis in diabetic nephropathy	Others	N/A	N/A	knockdown, overexpression	human renal tubular epithelial cells	N/A	up-regulated	interaction	miR-2355-3p	Regulate	down-regulated	lncRNA-miRNA	binding	lncRNA MALAT1| Targeting the miR-2355-3p/IL6ST Axis |Promote |Renal Fibrosis in Diabetic Nephropathy	33995063	2021	lncRNA MALAT1 Promotes Renal Fibrosis in Diabetic Nephropathy by Targeting the miR-2355-3p/IL6ST Axis.	
EL3692	MALAT1	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	Disease diagnosis	gastric cancer	Cancer	N/A	N/A	qRT-PCR	N/A	N/A	N/A	interaction	miR-23b-3p	Regulate	N/A	lncRNA-miRNA	regulation	Long noncoding RNA MALAT1丨regulates丨autophagy associated chemoresistance丨via丨miR-23b-3p sequestration丨in丨gastric cancer	29162158	2017	Long noncoding RNA MALAT1 regulates autophagy associated chemoresistance via miR-23b-3p sequestration in gastric cancer.	
EL3692	MALAT1	Homo sapiens	Cell proliferation	N/A	Sponging miRNAs	Inhibit disease	myocardial infarction	Others	N/A	N/A	qRT-PCR, knockdown, Western blot, overexpression, Luciferase reporter assays	MI mice model	N/A	down-regulated	interaction	miR-25-3p	Regulate	up-regulated	lncRNA-miRNA	binding	MALAT1|bind|miR-25-3p|upregulate|CDC42|promote|Angiogenesis and Myocardial Regeneration	34745428	2021	M1 Bone Marrow-Derived Macrophage-Derived Extracellular Vesicles Inhibit Angiogenesis and Myocardial Regeneration Following Myocardial Infarction via the MALAT1/MicroRNA-25-3p/CDC42 Axis.	
EL3692	MALAT1	Homo sapiens	Autophagy	N/A	Sponging miRNAs	Therapeutic target	colorectal cancer	Cancer	N/A	N/A	knockdown, overexpression	colorectal cancer cells	N/A	up-regulated	interaction	miR-26a-5p	Regulate	down-regulated	lncRNA-miRNA	binding	MALAT1|binnd|miR-26a-5p|promote| colorectal cancer progression	34313719	2021	Long noncoding RNA MALAT1 sponging miR-26a-5p to modulate Smad1 contributes to colorectal cancer progression by regulating Autophagy.	
EL3692	MALAT1	Homo sapiens	Disease-relevant functions	N/A	Sponging miRNAs	Disease treatment	sepsis	Others	LPS	N/A	knockdown, overexpression	HL-1 cells, mouse models	N/A	up-regulated	interaction	miR-26a-5p	Regulate	down-regulated	lncRNA-miRNA	binding	MALAT1 | bind | miR-26a-5p | upregulate | Rcan2 |promote| LPS-induced myocardial injury	34619102	2022	MALAT1 silencing elevated miR-26a-5p to ameliorate LPS-induced myocardial injury by reducing Rcan2	
EL3692	MALAT1	Homo sapiens	EMT	N/A	Sponging miRNAs	Promote disease	highly myopic cataract	Cancer	N/A	N/A	qRT-PCR, knockdown, Western blot, overexpression, Luciferase reporter assays	HLEC-SR01/04	N/A	up-regulated	interaction	miR-26a-5p	Regulate	down-regulated	lncRNA-miRNA	binding	MALAT1|bind|miR-26a-5p|bind|TET1|promote| highly myopic cataract	36700118	2023	"The inflammatory environment and MALAT1 expression could be reciprocally induced in HLECs. MALAT1 may act as a ceRNA via the ""sponge"" miR-26a-5p and target TET1 to regulate the inflammatory response, proliferation, migration, and EMT processes in HLECs"	
EL3692	MALAT1	Homo sapiens	Apoptosis	N/A	Sponging miRNAs	Disease treatment	myocardial infarction	Others	N/A	N/A	knockdown, overexpression	CMECs	N/A	up-regulated	interaction	miR-26b-5p	Regulate	down-regulated	lncRNA-miRNA	binding	Malat1|bind|miR-26b-5p|promote| microvascular function after myocardial infarction in mice	33667993	2021	The lncRNA Malat1 regulates microvascular function after myocardial infarction in mice via miR-26b-5p/Mfn1 axis-mediated mitochondrial dynamics	
EL3692	MALAT1	Homo sapiens	Disease-relevant functions	N/A	Sponging miRNAs	Therapeutic target	non-small cell lung cancer	Cancer	gemcitabine	N/A	qRT-PCR, Dual-luciferase reporter gene assay, RNA immunoprecipitation,	A549 and A549/GEM cells, NSCLC cells, tumor xenograft model, GEM tissues and cells	N/A	up-regulated	interaction	miR-27a-5p	Regulate	down-regulated	lncRNA-miRNA	binding	MALAT1|bind|miR-27a-5p|bind| PBOV1|promote|NSCLC	35367362	2022	MALAT1 enhances gemcitabine resistance in non-small cell lung cancer cells by directly affecting miR-27a-5p/PBOV1 axis.	
EL3692	MALAT1	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	Disease treatment	polycystic ovary syndrome	Others	N/A	N/A	qRT-PCR, knockdown, Western blot, overexpression, Luciferase reporter assays	PCOS rat model	N/A	down-regulated	interaction	miR-302d-3p	Regulate	up-regulated	lncRNA-miRNA	regulation	MALAT1 | upregulate | LIF expression | upregulate | MiR-302d-3p expression | reduced | endocrine disorders and ovarian tissue damage	33465389	2021	Down-regulation of MALAT1 aggravates polycystic ovary syndrome by regulating MiR-302d-3p-mediated leukemia inhibitory factor activity	
EL3692	MALAT1	Homo sapiens	Disease-relevant functions	N/A	Signaling pathways regulation	Inhibit disease	hepatocellular carcinoma	Cancer	N/A	N/A	qRT-PCR, knockdown, Western blot, overexpression, Luciferase reporter assays,RIP, ELISA, FISH	mouse models, HCC cell lines	N/A	up-regulated	interaction	miR-3064-5p	Regulate	N/A	lncRNA-miRNA	binding	MALAT1丨functioned as丨ceRNA丨by丨sponging丨miR-3064-5p丨to丨alleviate丨 the suppressive effect丨on丨the FOXA1 pathway	31914639	2020	MicroRNA-3064-5p sponged by MALAT1 suppresses angiogenesis in human hepatocellular carcinoma by targeting the FOXA1/CD24/Src pathway.	
EL3692	MALAT1	Homo sapiens	Cell proliferation	N/A	Sponging miRNAs	Therapeutic target	breast cancer	Cancer	Hypoxia	N/A	nuclear and cytoplasmic fractionation assays , fluorescence	breast cancer cells	N/A	up-regulated	interaction	miR-3064-5p	Regulated	down-regulated	lncRNA-miRNA	binding	MALAT1|Sponge|MiR-3064-5p	34012919	2021	Hypoxia-Induced MALAT1 Promotes the Proliferation and Migration of Breast Cancer Cells by Sponging MiR-3064-5p.	
EL3692	MALAT1	Homo sapiens	Disease-relevant functions	N/A	Sponging miRNAs	Disease diagnosis	hepatocellular carcinoma	Cancer	N/A	N/A	qRT-PCR, dual-luciferase assay, western blot, immunohistochemistry,	HCC tissues and relative pair-matched adjacent normal liver tissues	N/A	up-regulated	interaction	miR-30a-5p	Regulate	N/A	lncRNA-miRNA	binding	MALAT1丨competitively丨sponge丨miR-30a-5p丨thereby丨regulate丨Vimentin	30278452	2018	MALAT1 Functions as a Competing Endogenous RNA to Regulate Vimentin Expression by Sponging miR-30a-5p in Hepatocellular Carcinoma	
EL3692	MALAT1	Homo sapiens	EMT	N/A	Sponging miRNAs	Inhibit disease	silicosis	Others	silica	N/A	qRT-PCR, knockdown, Western blot, overexpression, Luciferase reporter assays	mouse silicosis and A549 cells EMT models	N/A	down-regulated	interaction	miR-30c-5p	Regulate	up-regulated	lncRNA-miRNA	binding	MALAT1|bind|miR-30c-5p|regulate|CTGF/ATG5|downregulate|EMT|inhibit|experimental silicosis	36508811	2023	MALAT1-miR-30c-5p-CTGF/ATG5 axis regulates silica-induced experimental silicosis by mediating EMT in alveolar epithelial cells.	
EL3692	MALAT1	Homo sapiens	endothelial cell pyroptosis	N/A	Sponging miRNAs	Promote disease	N/A	N/A	TNF-α-	N/A	qRT-PCR, knockdown, Western blot, overexpression, Luciferase reporter assays	endothelial cell	N/A	up-regulated	interaction	miR-30c-5p	Regulate	down-regulated	lncRNA-miRNA	binding	MALAT1|bind|miR-30c-5p|downregulate|Cx43|promote|endothelial cell pyroptosis	36896775	2023	miR-30c-5p was demonstrated to be a negative regulator of MALAT1 and could also target Cx43. Finally, co-transfection with siMALAT1 and miR-30c-5p inhibitor could attenuate the protective effect of MALAT1 knockdown against TNF-α-mediated RAOEC pyroptosis by upregulation of Cx43 expression.	
EL3692	MALAT1	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	Promote disease	systemic sclerosis	Others	N/A	N/A	qRT-PCR, ELISA	WBCs and plasma of SSc patients	N/A	up-regulated	interaction	miR-30e-5p	Regulate	down-regulated	lncRNA-miRNA	regulation	MALAT1 | downregulate | miR-30e-5p | upregulate | CHI3L1	35203705	2022	MALAT1 and NEAT1 could act as miR-30e-5p and miR-30a-5p decoys. This may be a reason for the increased serum levels of CHI3L1 in SSc patients	
EL3692	MALAT1	Homo sapiens	Cell proliferation	N/A	Sponging miRNAs	Disease treatment	hepatocellular carcinoma	Cancer	N/A	N/A	qRT-PCR, western blot, luciferase reporter assays	HCC tissues and cells, Xenograft tumor model	N/A	up-regulated	interaction	miR-3129-5p	Regulate	down-regulated	lncRNA-miRNA	regulation	MALAT1 |downregulate|miR-3129-5p|bind|Nova1|promote| doxorubicin resistance and the progression of HCC	32965597	2021	Elevation of LncRNA MALAT1 mediated doxorubicin resistance and the progression of HCC via a MALAT1/miR-3129-5p/Nova1 axis.	
EL3692	MALAT1	Homo sapiens	Disease-relevant functions	N/A	Sponging miRNAs	N/A	N/A	N/A	N/A	N/A	qRT-PCR, knockdown, Western blot, overexpression	N/A	N/A	N/A	interaction	miR-320a	Regulate	N/A	lncRNA-miRNA	binding	Knockdown丨of丨MALAT1 expression丨enhanced丨miR-320a expression丨but丨 reduced丨FOXM1 expression丨resulting in丨downregulation丨of丨HUVEC proliferation	28977880	2017	MALAT1 was shown to reciprocally interact with miR-320a, i.e., expression of one negatively regulated levels of the other, whereas knockdown of MALAT1 expression promoted miR-320a levels.	
EL3692	MALAT1	Homo sapiens	Disease-relevant functions	N/A	Signaling pathways regulation	Inhibit disease	hypoxia/reoxygenation-induced cell injury	Others	N/A	N/A	qRT-PCR, RIP, dual luciferase reporter assays, Overexpression, knockdown	human umbilical vein endothelial cell	N/A	up-regulated	interaction	miR-320a	Regulate	N/A	lncRNA-miRNA	regulation	MALAT1丨reduced丨miR-320a levels丨in丨HUVECs	31408432	2020	LncRNA MALAT1 inhibits hypoxia/reoxygenation-induced human umbilical vein endothelial cell injury via targeting the microRNA-320a/RAC1 axis.	
EL3692	MALAT1	Homo sapiens	Disease-relevant functions	N/A	Sponging miRNAs	Therapeutic target	N/A	N/A	N/A	N/A	qRT-PCR, knockdown, overexpression	obese children	N/A	down-regulated	interaction	miR-320a	Regulate	down-regulated	lncRNA-miRNA	binding	LncRNA MALAT1|bind|miR-320a axis |inhibit|endothelial dysfunction in obese children	34062189	2021	LncRNA MALAT1/miR-320a axis is associated with exercise-induced improvement of endothelial dysfunction in obese children	
EL3692	MALAT1	Homo sapiens	Disease-relevant functions	N/A	Sponging miRNAs	Promote disease	diabetic retinopathy	Others	HG	N/A	qRT-PCR, Western blot, overexpression, , FISH, RIP, immunofluorescence assay, Dual-luciferase reporter assays, RNA Pull-down	mouse retinal microvascular endothelial cells, muller cells	N/A	up-regulated	interaction	miR-320a	Regulate	down-regulated	lncRNA-miRNA	binding	MALAT1|bind|miR-320a|upregulate|HIF-1α|promote|the retinal angiogenesisin diabetic retinopathy	35202706	2022	LncRNA MALAT1 aggravates the retinal angiogenesis via miR-320a/HIF-1α axis in diabetic retinopathy.	
EL3692	MALAT1	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	Disease diagnosis	prostate cancer	Cancer	N/A	N/A	knockdown, overexpression,	prostate cancer cells after androgen stimulation, as well as AR	N/A	up-regulated	interaction	miR-320b	Regulate	N/A	lncRNA-miRNA	binding	MALAT1丨bound to丨miR-320b丨and丨negatively丨regulated丨its expression	30642743	2019	Silencing of lncRNA MALAT1 inhibits cell cycle progression via androgen receptor signaling in prostate cancer cells.	
EL3692	MALAT1	Homo sapiens	Disease-relevant functions	N/A	Sponging miRNAs	Disease treatment	colorectal cancer	Cancer	oxaliplatin	N/A	qRT-PCR, western blot, dual-luciferase reporter, knockdown, overexpression	Ox-resistant CRC tissues and cells, xenograft tumor mice model	N/A	up-regulated	interaction	miR-324-3p	Regulate	down-regulated	lncRNA-miRNA	binding	FAM225A | bind | miR-324-3p | promote | sensitivity of Ox-resistant CRC cells response to Ox	33005106	2020	MALAT1 modulated the sensitivity of Ox through ADAM17 in Ox-resistant CRC cells by sponging miR-324-3p, thus MALAT1 might serve as a novel insight for the therapy of CRC.	
EL3692	MALAT1	Homo sapiens	Cell proliferation, Apoptosis	N/A	Sponging miRNAs	Promote disease	psoriasis	Others	N/A	N/A	qRT-PCR, knockdown, Western blot, Luciferase reporter assays	psoriatic lesion tissues, HaCaT cells	N/A	up-regulated	interaction	miR-330-5p	Regulate	down-regulated	lncRNA-miRNA	binding	MALAT-1|bind|miR-330-5p|downregulate|S100A7|promote|the growth of interleukin-22-stimulated keratinocytes	34761722	2022	lncRNA MALAT-1 regulates the growth of interleukin-22-stimulated keratinocytes via the miR-330-5p/S100A7 axis.	
EL3692	MALAT1	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	Prognosis	acute lymphoblastic leukemia	Cancer	N/A	N/A	qRT-PCR,	Bone marrow samples from 64 cALLs, including 46 de novo and 18 relapsed patients, addition to 30 non-cancer controls	N/A	up-regulated	interaction	miR-335-3p	Regulate	N/A	lncRNA-miRNA	binding	miR-335-3p丨interact with丨MALAT1	30639603	2019	Dysregulation of miR-335-3p, targeted by NEAT1 and MALAT1 long non-coding RNAs, is associated with poor prognosis in childhood acute lymphoblastic leukemia.	
EL3692	MALAT1	Homo sapiens	Disease-relevant functions	N/A	Sponging miRNAs	Disease diagnosis	myasthenia gravis	Others	N/A	N/A	luciferase reporter	peripheral blood mononuclear cells from MG patients and those from control subjects	N/A	down-regulated	interaction	miR-338-3p	Regulate	N/A	lncRNA-miRNA	binding	MALAT-1丨directly丨induced丨MSL2 expression丨in丨MG丨by丨acting as丨a competing endogenous RNA丨for丨miR-338-3p	30362606	2019	The long noncoding RNA MALAT-1 functions as a competing endogenous RNA to regulate MSL2 expression by sponging miR-338-3p in myasthenia gravis.	
EL3692	MALAT1	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	Promote disease	acut Cerebral infarction	Others	N/A	N/A	western blot, overexpression, mimic	plasma of ACI patients	N/A	up-regulated	interaction	miR-338-3p	Regulate	N/A	lncRNA-miRNA	regulation	LncRNA MALAT1丨induced丨the upregulation丨of丨CRP expression丨through丨 inhibiting丨the expression丨of丨hsa-miR-145-5p	31342266	2019	Long Non-Coding RNA MALAT1 Promotes Acute Cerebral Infarction Through miRNAs-Mediated hs-CRP Regulation.	
EL3692	MALAT1	Homo sapiens	Disease-relevant functions	N/A	Sponging miRNAs	Prognosis	breast cancer	Cancer	N/A	N/A	qRT-PCR, knockdown,  overexpression, Luciferase reporter assays,	clinical samples of breast cancertissues	N/A	up-regulated	interaction	miR-339-5p	Regulate	N/A	lncRNA-miRNA	binding	LncRNA MALAT1丨regulate丨BLCAP mRNA expression丨through丨binding to丨 miR-339-5p	30683807	2019	Long non-coding RNA MALAT1 regulates BLCAP mRNA expression through binding to miR-339-5p and promotes poor prognosis in breast cancer.	
EL3692	MALAT1	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	Disease treatment	myocardial ischemia/reperfusion injury	Others	Dexmedetomidine	N/A	qRT-PCR, knockdown, Western blot, overexpression, Luciferase reporter assays	bone marrow stromal cells	N/A	down-regulated	interaction	miR-346	Regulate	up-regulated	lncRNA-miRNA	binding	Dexmedetomidine | downregulate | MALAT1 | bind | miR-346 | upregulate | miR-346 expression | attenuate | myocardial ischemia reperfusion-induced injury	33905806	2021	Dexmedetomidine down-regulates lncRNA MALAT1 to attenuate myocardial ischemia reperfusion-induced injury by increasing miR-346.	
EL3692	MALAT1	Homo sapiens	Organ Development	N/A	Sponging miRNAs	Therapeutic target	muscle aging	Others	H2O2	N/A	qRT-PCR, knockdown, Western blot, overexpression, Luciferase reporter assays	skeletal muscles of young (4-6 months) and aged (22-24) male and female mice	N/A	down-regulated	interaction	miR-34a-5p	Regulate	up-regulated	lncRNA-miRNA	binding	MALAT1|bind|miR-34a-5p|downregulate|Expression of TGF-β|inhibit|age-related fibrosis and muscle atrophy in Skeletal Muscle	35126169	2022	"Long Non-coding RNA MALAT1 Is Depleted With age-related fibrosis and muscle atrophy in Skeletal Muscle in vivo and MALAT1 Silencing Increases Expression of TGF-β1 in vitro via miR-34a ""sponging""."	
EL3692	MALAT1	Homo sapiens	Cell proliferation	Cytoplasm	Signaling pathways regulation	Therapeutic target	renal cell cancer	Cancer	N/A	N/A	qRT-PCR, RNA Pull-down, Western blot, Luciferase reporter assays	renal cell cancer tissues, HEK-293T, HK-2, CAKI-2, ACHN, 769P, 786O cells	N/A	up-regulated	interaction	miR-362-3p	Regulate	up-regulated	lncRNA-miRNA	binding	MALAT1 |cobinding | miR-362-3p | modulate | G3BP1 expression | promote| RCC cell proliferation and migration	32663095	2020	depletion of LncRNA MALAT1 inhibited SU chemoresistance through modulating G3BP1 via sponging miR-362-3p in RCC cells, suggesting that targeting MALAT1 may be a potential therapeutic strategy for SU-resistance RCC.	
EL3692	MALAT1	Homo sapiens	Cell proliferation	N/A	Sponging miRNAs	Therapeutic target	laryngeal squamous cell carcinoma	Cancer	N/A	N/A	qRT-PCR, Dual-luciferase reporter assays, RIP, RNA Pull-down	Human LSCC Hep-2 cells	N/A	down-regulated	interaction	miR-362-3p	Regulate	up-regulated	lncRNA-miRNA	binding	MALAT|bind|miR-362-3p|inhibit|proliferation and invasiveness of laryngeal squamous cell carcinoma	35836842	2022	LncRNA MALAT1 inhibits the proliferation and invasiveness of laryngeal squamous cell carcinoma Hep-2 cells by modulating miR-362-3p.	
EL3692	MALAT1	Homo sapiens	Disease-relevant functions	N/A	Sponging miRNAs	Disease diagnosis	gallbladder carcinoma	Cancer	N/A	N/A	western blot, qRT-PCR, knockdown, immunofluorescence assay	GBC tissues	N/A	up-regulated	interaction	miR-363-3p	Regulate	N/A	lncRNA-miRNA	binding	MALAT1丨regulated丨MCL-1 expression丨as丨ceRNA丨for丨miR-363-3p丨in丨 GBC cells	27420766	2016	The lncRNA MALAT1 functions as a competing endogenous RNA to regulate MCL-1 expression by sponging miR-363-3p in gallbladder cancer.	
EL3692	MALAT1	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	Disease diagnosis	anaplastic thyroid carcinoma	Cancer	BI-847325	N/A	qRT-PCR	ATC cell lines	N/A	down-regulated	interaction	miR-363-3p	Regulate	N/A	lncRNA-miRNA	binding	MALAT1丨negative丨regulator丨of丨Mcl1 mRNA丨by丨sponging丨of丨miR-363-3p	31077090	2019	The results showed significant downregulation of GAS5 expression and upregulation of SOX2OT in NSCLC patients compared with controls	
EL3692	MALAT1	Homo sapiens	Disease-relevant functions	N/A	Signaling pathways regulation	N/A	sepsis-induced acute kidney injury	Others	paclitaxel	N/A	qRT-PCR, western blot, Knockdown	HK-2 cells	N/A	down-regulated	interaction	miR-370-3p	Regulate	up-regulated	lncRNA-miRNA	binding	lnc-MALAT1 | cobind | miR-370-3p | inhibit | LPS induced HK-2 cells	32998017	2020	Paclitaxel could protect against LPS-induced AKI via the regulation of lnc-MALAT1/miR-370-3p/HMGB1 axis and the expression of TNF-α, IL-6 and IL-1β, revealing that paclitaxel might act as a therapy drug in reducing sepsis-associated AKI.	
EL3692	MALAT1	Homo sapiens	Cell proliferation, Apoptosis	Exosome	Sponging miRNAs	Therapeutic target	cervical cancer	Cancer	Cisplatin	N/A	qRT-PCR, RIP, Luciferase reporter assays	CC tissues and cells	N/A	up-regulated	interaction	miR-370-3p	Regulate	down-regulated	lncRNA-miRNA	binding	MALAT1|bind|miR-370-3p|downregulate|STAT3|activate|PI3K/Akt pathway|promote|Cisplatin Resistance in Cervical Cancer Cells	36793374	2023	Effect of Exosomal lncRNA MALAT1/miR-370-3p/STAT3 Positive Feedback Loop on PI3K/Akt Pathway Mediating Cisplatin Resistance in Cervical Cancer Cells	
